Policy_ID,Policy_Name,Refund_Class,Default_Reversible,Refund_Rate,Refund_Resource_Filter,Consumes_Target,Creates_One_Way_Gate,Requires_Reset_Item_or_Feature,Unknown_Behavior,Engine_Behavior,Verified_Rule,Verification_Status,Source_URLs
RP_NORMAL_PET_MERGE_ONE_WAY,Normal pet rarity merge,NO_REFUND,No,0,,Pet copies/fodder,Yes,,,Permanently consume pet copies/fodder.,"Cookies can be removed, but rarity merging is treated as permanent.",Community pet rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_NORMAL_PET_UNAWAKEN_VERIFY,Normal pet unawaken,REVERSIBLE_UNKNOWN_RETURN,Verification required,,Awakening materials unresolved,No,No,Unawaken,Block inventory credit,Allow a state-only preview; do not return resources until exact outputs are verified.,Drive guidance says pets can be unawakened.,Feature verified; return composition unresolved,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_PET_AFFECTION_RESET_VERIFY,Pet Affection reset,REVERSIBLE_UNKNOWN_RETURN,Verification required,,Gifts/toys unresolved,No,No,Free Pet Affection reset,Block inventory credit,Reset state only after exact gift/toy return is supplied.,Official release notes confirm the reset feature exists.,Official feature; exact returns unresolved,https://apps.apple.com/us/app/survivor-io/id1528941310
RP_NORMAL_PET_DISMISS_FIXED,Normal pet dismissal,SALVAGE_FIXED_RETURN,No,,Excellent=160|Epic=1280|Legend=7780 Xeno Pet Crystals,Destroys pet,Yes,Pet Dismissal; another copy must remain,,Remove pet and grant the verified fixed Xeno Pet Crystal return.,Only-copy protection applies.,Drive values; older Legend conflict noted,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_XENO_DISMISS_90,Xeno pet dismissal,PARTIAL_REFUND,No,0.9,Pet Cookies,Destroys Xeno pet,Yes,Another copy of the species,Other resources are not credited,Return 90% of tracked Pet Cookies and record 10% loss.,Drive states a 90% cookie refund.,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_XENO_SKILL_REROLL_ONE_WAY,Xeno assist-skill reroll,NO_REFUND,No,0,,Elixir/reroll resource and prior roll,Yes,Eligible max-level Xeno pet,,Consume resource and replace the old skill roll.,Xeno Pet Elixir resets one selected assist skill.,Exact item/Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_TECH_RESONANCE_REALLOCATE,Tech resonance allocation,REVERSIBLE_REALLOCATION,Yes,1.0,Assigned tech parts|Resonance Chips,No,No,Remove resonance allocation,,Return assigned resources to inventory and clear the slot.,Drive says tech parts and chips can be removed/reallocated.,Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_TWINBORN_SWITCH,Twinborn mode switch,REVERSIBLE_STATE_CHANGE,Yes,,,No,No,Own Twinborn pair,,Switch mutually exclusive modes without inventory change.,Only one side is active; modes can be switched.,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_TWINBORN_UNMERGE_VERIFY,Twinborn unmerge,REVERSIBLE_UNKNOWN_RETURN,Verification required,,Underlying Legend parts/allocations unresolved,Removes Twinborn state,No,Twinborn Unmerge,Block inventory credit,Allow state preview only until exact returned parts are verified.,Drive says Twinborn can be unmerged.,Feature verified; return list unresolved,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_COLLECTIBLE_DECONSTRUCT,Legend collectible deconstructor,PARTIAL_REFUND,Yes with consumable,,Completed-star investment above 1 Gold Star,Deconstructor; collectible remains,No,Legend Collectible Deconstructor,Do not credit incomplete-star progress,Reset to 1 Gold Star and return only explicitly supplied completed-star resources.,Localized item states the reset floor.,Reset floor exact; return details unresolved,https://apps.apple.com/us/app/survivor-io/id1528941310
RP_SALVAGE_FIXED_ONE_WAY,Salvage/dismantle conversion,SALVAGE_FIXED_RETURN,No,,System-specific fixed output,Destroys item,Yes,Salvage interface,Block when output table missing,Destroy target and grant only verified fixed outputs.,Equipment salvage converts gear into forge materials/cores.,System verified; output item-specific,https://survivorio.fandom.com/wiki/Astral_forge
RP_SS_AF_REALLOCATION_VERIFY,SS Astral Forge restore,REVERSIBLE_UNKNOWN_RETURN,Verification required,,Forge allocation snapshot,No,No,SS AF save/restore,Require exact snapshot,Permit state switching only with explicit before/after resource snapshots.,SS Astral Forge configurations can be saved/restored.,Feature verified; exact returned set unresolved,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310
RP_MOUNT_UPGRADE_UNKNOWN,Mount star upgrade,UNKNOWN_BLOCKED,No,,,Mount shards/cores,Assumed yes,,Block reversal,Treat as irreversible until a current reset policy is verified.,No mount reset policy found.,Unresolved / conservative,https://apps.apple.com/us/app/survivor-io/id1528941310
RP_MOUNT_COMPONENT_MERGE,Mount component merge/refine,NO_REFUND,No,0,,Components or Refine Essence; old stat,Yes,,,Consume inputs and overwrite/reroll the previous stat.,No undo policy is documented.,Drive rule / conservative,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
RP_EVENT_EXPIRY,Limited event item,NO_REFUND_OR_EXPIRY,No,0,,Spend or expiry,Yes,,,Treat spending as irreversible and apply expiry constraints.,Temporary resources are not assumed to survive event closure.,Lifecycle rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
RP_UNKNOWN_BLOCKED,Unknown refund behavior,UNKNOWN_BLOCKED,No,,,Unknown,Assumed yes,,Block reversal and resource credit,Forward simulation is optional; no reverse transition or refund is allowed.,Safety default.,Unverified,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
