Rule_ID,Action_Type,Target_Type,Policy_ID,Preconditions,Resource_Input_Mode,Resource_Return_Mode,Refund_Resource_Filter,State_Change,Reset_Scope,Dependency_Impact,Can_Simulate_Forward,Can_Auto_Reverse,Unknown_or_Blocking_Condition,Verification_Status,Source_URLs
TR018,xeno_pet_dismiss,Xeno Pet,RP_XENO_DISMISS_90,Another copy,Destroy,90% cookies,Pet Cookies,Remove pet,One pet,10% cookie loss,Yes,No,Other resources not credited,Drive,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR019,xeno_skill_reroll,Xeno Pet,RP_XENO_SKILL_REROLL_ONE_WAY,Eligible pet/slot,Consume reroll,None,,Replace skill,One slot,Old roll lost,Yes,No,,Exact,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR020,tech_resonance_assign,Tech Part,RP_TECH_RESONANCE_REALLOCATE,Slot rules met,Assign,Assigned,,Increase allocation,One slot,No consumption,Yes,Yes,,Drive,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR021,tech_resonance_remove,Tech Part,RP_TECH_RESONANCE_REALLOCATE,Resources assigned,None,Return assigned,Parts|Chips,Clear allocation,One slot,No loss,Yes,Yes,,Drive,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR022,twinborn_switch_mode,Twinborn,RP_TWINBORN_SWITCH,Pair owned,None,None,,Switch mode,One pair,Mutually exclusive,Yes,Yes,,Drive,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR023,twinborn_unmerge,Twinborn,RP_TWINBORN_UNMERGE_VERIFY,Pair owned,Unknown,Unknown,,Remove Twinborn,One pair,Unknown inventory,Yes,No,No inventory credit,Feature only,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR024,collectible_star_upgrade,Collectible,RP_RARITY_PROMOTION_ONE_WAY,Shards/copies available,Consume,None,,Raise star,One collectible,Permanent unless eligible reset,Yes,No,,Conservative,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
TR025,legend_collectible_deconstruct,Legend Collectible,RP_COLLECTIBLE_DECONSTRUCT,Item owned; >1 Gold,Consume item,Supplied refund,Completed stars,Reset to 1 Gold,One collectible,Incomplete progress uncertain,Yes,No,Exact return required,Reset floor exact,https://apps.apple.com/us/app/survivor-io/id1528941310
TR026,mount_star_upgrade,Mount,RP_MOUNT_UPGRADE_UNKNOWN,Unlocked; resources available,Consume,None assumed,,Raise star,One mount,Assumed permanent,Yes,No,No reset policy,Unresolved,https://apps.apple.com/us/app/survivor-io/id1528941310
TR027,mount_component_merge,Mount Component,RP_MOUNT_COMPONENT_MERGE,Components available,Consume,None,,Merge + reroll,Inventory,Old parts/stats lost,Yes,No,,Drive,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR028,mount_component_refine,Mount Component,RP_MOUNT_COMPONENT_MERGE,Essence available,Consume,None,,Reroll stat,One part,Old stat lost,Yes,No,,Drive,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR029,event_item_spend,Event Item,RP_EVENT_EXPIRY,Event active,Consume,Target reward,,Exchange,Event,Spend/expiry,Yes,No,Event table needed,Lifecycle,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
TR030,unknown_action,*,RP_UNKNOWN_BLOCKED,None,Caller,None,,Forward only,Unknown,Assume permanent,Yes,No,Always block reverse,Safety,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
