Equipment_Slot,SS_Equipment,System,Level,Level_Number,Unlock_Requirement,Relic_Core_Cost,Eternal_Core_Cost,Void_Core_Cost,Chaos_Core_Cost,Xeno_Transmute_Core_Cost,Base_Tech_Materials_Cost,Fodder_Rarity,Fodder_Item,Fodder_Quantity,Unlock_Name,Effect,Trigger_Condition,Trigger_Cooldown,Release_Status,Data_Status,Source_Name,Source_URL
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT12,12,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,250,0,0,8,0,,,0,Laceration,+25% Laceration.,,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT13,13,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,0,250,0,8,0,,,0,Transmute Damage,Adds another 1 times the selected trigger's Transmute damage coefficient; 4 times total from XT5 and XT13.,,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Armor,Evervoid Armor - Starforged Havoc,Eternal Astral Forge,E1,1,Own the SS equipment; progress sequentially on this Astral Forge path,1,10,0,0,0,500,Epic,Eternal Suit,1,Halberd Shield,"Shield damage +10%. Damage increases while the shield is active. Unrelenting: take no damage for 10 seconds and the Energy Shield recovers 25% HP each second, without exceeding maximum shield HP.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Eternal Astral Forge,E2,2,Own the SS equipment; progress sequentially on this Astral Forge path,2,20,0,0,0,500,Epic,Eternal Suit,1,HP,+10% HP.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Eternal Astral Forge,E3,3,Own the SS equipment; progress sequentially on this Astral Forge path,3,40,0,0,0,500,Epic,Eternal Suit,2,Violent Backlash,"Shield damage +10%. When own HP is above 10%, own HP is deducted before shield HP when taking damage.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Eternal Astral Forge,E4,4,Own the SS equipment; progress sequentially on this Astral Forge path,5,60,0,0,0,500,Epic,Eternal Suit,2,Final HP,"+16,000 Final HP.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Eternal Astral Forge,E5,5,Own the SS equipment; progress sequentially on this Astral Forge path,8,80,0,0,0,1000,Legend,Eternal Suit,1,Omnicombat,"The higher the Energy Shield HP, the higher the damage. Every 25% shield HP grants +5% shield damage.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Void Astral Forge,V1,1,Own the SS equipment; progress sequentially on this Astral Forge path,1,0,10,0,0,500,Epic,Voidwaker Windbreaker,1,HP,+10% HP.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Void Astral Forge,V2,2,Own the SS equipment; progress sequentially on this Astral Forge path,2,0,20,0,0,500,Epic,Voidwaker Windbreaker,1,Reverse Scale,"When shield HP is higher than own HP, Skill Damage +10%.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Void Astral Forge,V3,3,Own the SS equipment; progress sequentially on this Astral Forge path,3,0,40,0,0,500,Epic,Voidwaker Windbreaker,2,Final HP,"+16,000 Final HP.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Void Astral Forge,V4,4,Own the SS equipment; progress sequentially on this Astral Forge path,5,0,60,0,0,500,Epic,Voidwaker Windbreaker,2,Clarity,Clarity increases Skill Damage by +15%.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Void Astral Forge,V5,5,Own the SS equipment; progress sequentially on this Astral Forge path,8,0,80,0,0,1000,Legend,Voidwaker Windbreaker,1,Final HP,"+32,000 Final HP.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Armor,Evervoid Armor - Starforged Havoc,Chaos Fusion,CF1,1,1 total Eternal + Void Astral Forge stars required,1,0,0,20,0,0,Epic,Armor of Quietus,1,Max Level,+5 maximum equipment levels.,,,Released,Effect/stat values modeled from current sIO Tools snapshot; exact in-game unlock title may differ,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Armor,Evervoid Armor - Starforged Havoc,Chaos Fusion,CF2,2,2 total Eternal + Void Astral Forge stars required,2,0,0,20,0,0,Epic,Armor of Quietus,1,Shield Damage,+10% Shield Damage.,,,Released,Effect/stat values modeled from current sIO Tools snapshot; exact in-game unlock title may differ,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Armor,Evervoid Armor - Starforged Havoc,Chaos Fusion,CF3,3,3 total Eternal + Void Astral Forge stars required,3,0,0,50,0,0,Epic,Armor of Quietus,1,Max Level,+5 maximum equipment levels.,,,Released,Effect/stat values modeled from current sIO Tools snapshot; exact in-game unlock title may differ,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Armor,Evervoid Armor - Starforged Havoc,Chaos Fusion,CF4,4,3 total Eternal + Void Astral Forge stars required,3,0,0,50,0,0,Epic,Armor of Quietus,1,Skill Damage,+20% Skill Damage.,,,Released,Effect/stat values modeled from current sIO Tools snapshot; exact in-game unlock title may differ,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Armor,Evervoid Armor - Starforged Havoc,Chaos Fusion,CF5,5,4 total Eternal + Void Astral Forge stars required,4,0,0,100,0,0,Epic,Armor of Quietus,2,Max Level,+5 maximum equipment levels.,,,Released,Effect/stat values modeled from current sIO Tools snapshot; exact in-game unlock title may differ,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Armor,Evervoid Armor - Starforged Havoc,Chaos Fusion,CF6,6,4 total Eternal + Void Astral Forge stars required,4,0,0,100,0,0,Epic,Armor of Quietus,2,Skill Damage,Additional +20% Skill Damage.,,,Released,Effect/stat values modeled from current sIO Tools snapshot; exact in-game unlock title may differ,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
