Set_ID,Set_Name,Set_Type,Collectible_1,Collectible_1_Rarity,Collectible_2,Collectible_2_Rarity,Collectible_3,Collectible_3_Rarity,Collectible_4,Collectible_4_Rarity,Unlock_Count,Damage_Tags,Data_Status,Source_URL
SET033,Hero Outfit,1 Red,Life Hourglass,Legend,Golden Horn,Epic,Elemental Ring,Epic,Shadowchaser Bow,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/hero-outfit
SET034,Special Performance,2 Yellows,Nuclear Battery,Epic,Golden Horn,Epic,Crimson Guitar,Excellent,Memorial Ticket,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/special-performance
SET035,Five-Element Sword Saint,2 Yellows,Plasma Sword,Epic,Elemental Ring,Epic,Swift Longboots,Excellent,Magnetic Gloves,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/five-element-sword-saint
SET036,Guitarist Journal,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/guitarist-journal
SET037,Missed the Movie Opening,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/missed-the-movie-opening
SET038,Magnetic Freak,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/magnetic-freak
SET039,Just a Projected Movie,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/just-a-projected-movie
SET040,Interdimension Movement,4 Reds,Nano-Mimetic Mask,Legend,Dice of Destiny,Legend,Dimension Foil,Legend,Mental Sync Helm,Legend,4,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/interdimension-movement
SET041,Merfolk Disguise Attempt,1 Red,Nano-Mimetic Mask,Legend,Hydraulic Flipper,Epic,Comms Conch,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/merfolk-disguise-attempt
SET042,Pseudorandom Destiny,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/pseudorandom-destiny
SET043,Drones are Safest,1 Red,Mental Sync Helm,Legend,Hydraulic Flipper,Epic,Comms Conch,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/drones-are-safest
SET044,Seeking the Door of Dimensions,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/seeking-the-door-of-dimensions
SET045,The Seabed is Forbidden,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/the-seabed-is-forbidden
SET046,Underwater Treasure Hunt,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/underwater-treasure-hunt
SET047,First Imitation Dive,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/first-imitation-dive
SET048,Low Visibility,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/low-visibility
SET049,Sunken Ship Secrets,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/sunken-ship-secrets
SET050,Say No to Piracy,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/say-no-to-piracy
SET051,Summon the Divine Dragon,4 Reds,Atomic Mech,Legend,Time Essence Bottle,Legend,Dragon Tooth,Legend,Hyper Neuron,Legend,6,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/summon-the-divine-dragon
SET052,Close to Creation,2 Reds,Atomic Mech,Legend,Time Essence Bottle,Legend,Micro Artificial Sun,Epic,Antiparticle Gourd,Epic,7,ATK% | Final ATK | Final HP | HP% | Shield Damage,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/close-to-creation
SET053,Higher-Dimensional Being's Vanity Table,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/higher-dimensional-being-s-vanity-table
SET054,Unbreakable,1 Red,Dragon Tooth,Legend,Mini Dyson Sphere,Epic,Micro Artificial Sun,Epic,Thunderbolt Hammer,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/unbreakable
SET055,Dangerous Experiment,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/dangerous-experiment
SET056,Completely Consumed,2 Yellows,Mini Dyson Sphere,Epic,Klein Bottle,Epic,Cyclotron,Excellent,Infinidark Paint,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/completely-consumed
SET057,Incorrect Shutdown Method,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/incorrect-shutdown-method
SET058,Steeds Deserve Saddles,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/steeds-deserve-saddles
SET059,Contrarily Easily Seen,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/contrarily-easily-seen
SET060,Very Safe,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/very-safe
SET061,All Heat Discovered,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/all-heat-discovered
SET062,Open Void Gate,2 Reds,Angelic Tear Crystal,Legend,Otherworld Key,Legend,Micro Artificial Sun,Epic,Antiparticle Gourd,Epic,8,ATK% | Crit Damage | Final ATK | Final HP | HP% | Shield Damage | Skill Damage,Exact GarryTools page data transcribed from the search-indexed page,https://garrytools.com/guide/collectionsets/open-void-gate
SET063,Transgalactic Tentacle,2 Reds,Instellar Transition Matrix Design,Legend,Hyper Neuron,Legend,Hydraulic Flipper,Epic,Klein Bottle,Epic,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page data transcribed from the search-indexed page,https://garrytools.com/guide/collectionsets/transgalactic-tentacle
SET064,Conduct experiments in a safe environment,4 Reds,Cyber Totem,Legend,Clone Mirror,Legend,Dreamscape Puzzle,Legend,Gene Splicer,Legend,6,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/conduct-experiments-in-a-safe-environment
SET065,Extraterrestrial Ritual,1 Red,Cyber Totem,Legend,Wildfire Furnace,Epic,Infinity Score,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/extraterrestrial-ritual
SET066,All-Tech Trove,1 Red,Clone Mirror,Legend,Cosmic Compass,Epic,Wormhole Detector,Epic,Void Shackle,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/all-tech-trove
SET067,Dreamseeker Voyage,1 Red,Dreamscape Puzzle,Legend,Wildfire Furnace,Epic,Infinity Score,Epic,Tempest Seed,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/dreamseeker-voyage
SET068,Humanity's Origin,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/humanity-s-origin
SET069,Cosmic Wasteland,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/cosmic-wasteland
SET070,We'll Find It One Day,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/we-ll-find-it-one-day
SET071,Only the Flute Played,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/only-the-flute-played
SET072,Successive Assaults,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/successive-assaults
SET073,DeVoid of Life,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/devoid-of-life
SET074,On File,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/on-file
SET075,Impression Idols,2 Reds,Nano-Mimetic Mask,Legend,Clone Mirror,Legend,Cosmic Compass,Epic,Infinity Score,Epic,6,ATK% | Crit Damage | Final ATK | Final HP | HP% | Skill Damage,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/impression-idols
SET076,Multiverse Perspective,2 Reds,Eye of True Vision,Legend,Dreamscape Puzzle,Legend,Wildfire Furnace,Epic,Wormhole Detector,Epic,4,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/multiverse-perspective
SET077,Realizing Childhood Dreams,4 Reds,Memory Editor,Legend,Temporal Rewinder,Legend,Spatial Rewinder,Legend,Holodream Fluid,Legend,4,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/realizing-childhood-dreams
SET078,Deleted Memories,1 Red,Memory Editor,Legend,Shuttle Capsule,Epic,Neurochip,Epic,Omega Energy Core,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/deleted-memories
SET079,There'll Be a Time For It,1 Red,Temporal Rewinder,Legend,Star-Rail Passenger Card,Epic,Portable Mech Case,Epic,Holo-Retina Lens,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/there-ll-be-a-time-for-it
SET080,Inescapable,1 Red,Spatial Rewinder,Legend,Shuttle Capsule,Epic,Neurochip,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/inescapable
SET081,Dreams Come True,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/dreams-come-true
SET082,Relative Motion is Still Motion,2 Yellows,Shuttle Capsule,Epic,Star-Rail Passenger Card,Epic,Zero-Motion Anchor,Excellent,Infinite Defense Field,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/relative-motion-is-still-motion
SET083,Galactic Filtration Mechanism,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/galactic-filtration-mechanism
SET084,Confirmed Stillness,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/confirmed-stillness
SET085,Substitute,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/substitute
SET086,Near Future,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/near-future
SET087,Best Experience,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/best-experience
SET088,Hyperrift Tech,2 Reds,Life Hourglass,Legend,Dimension Foil,Legend,Super Circuit Board,Epic,Comms Conch,Epic,6,ATK% | Final ATK | Final HP | HP% | Lacerated,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/hyperrift-tech
SET089,Rewriting the Stars' Memories,2 Reds,Starcore Diamond,Legend,Memory Editor,Legend,Mini Dyson Sphere,Epic,Star-Rail Passenger Card,Epic,4,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/rewriting-the-stars-memories
SET090,Goldfinger,2 Reds,Dice of Destiny,Legend,Spatial Rewinder,Legend,Shuttle Capsule,Epic,Neurochip,Epic,7,ATK% | Final ATK | Final HP | HP% | Skill Damage | Weakened,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/goldfinger
SET091,Summon the Stand-in!,4 Reds,Dark Matter Construct,Legend,Timeline Cube,Legend,Omni-Symbiote,Legend,Prophet's Tarot,Legend,6,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/summon-the-stand-in
SET092,Dream or Reality?,1 Red,Dark Matter Construct,Legend,Geocore Orb,Epic,Aquacore Orb,Epic,Dreamscape Gyro,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/dream-or-reality
SET093,Force of Fortune,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/force-of-fortune
SET094,Life Reboot Device,1 Red,Omni-Symbiote,Legend,Geocore Orb,Epic,Aquacore Orb,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/life-reboot-device
SET095,Vision of Victory,1 Red,Prophet's Tarot,Legend,Pyrocore Orb,Epic,Aerocore Orb,Epic,King's Gauntlet,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/vision-of-victory
SET096,Perceiving the Essence,2 Yellows,Geocore Orb,Epic,Pyrocore Orb,Epic,Terra Fan,Excellent,Decoder Lens,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/perceiving-the-essence
SET097,Auto-Pathfinder,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/auto-pathfinder
SET098,"1 in 14,000,605",Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/1-in-14-000-605
SET099,Every Question Has An Answer,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/every-question-has-an-answer
