Rule_ID,Category,Rule_Name,Requirement,What_It_Unlocks_or_Changes,Optimizer_Impact,DPS_Relevant,Data_Status,Source_URLs
PRULE011,Awakening,Collaboration Restriction,Use Gary or Karen.,Gary and Karen do not support the standard awakening or skill-swapping system.,Do not generate impossible crystal or affection upgrade actions for these pets.,Yes,Current public guide / collaboration limitation,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE012,Affection,Affection Cap,Awaken the pet further.,Each awakening stage raises the maximum affection level and possible player ATK.,Maximum ATK is not automatic; toys must be spent to fill the new affection levels.,Yes,Exact Drive cost chart,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE013,Toys,Preferred Toy Pairings,Give a preferred toy after awakening.,"Dog+Cat, Robot+Frog, Fish+Eagle and Turtle+Crab share preferred toy groups.",Use preferred-toy inventory and current affection cap when valuing gifts.,Yes for ATK,Exact Drive chart,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE014,Toys,Toy Stat Values,"Give a Blue, Purple or Yellow toy.",Blue gives 3 ATK/12 HP; Purple 15/60; Yellow 45/180.,Score ATK for DPS and retain HP only for survival modeling.,Yes for ATK,Exact Drive chart,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE015,Disposition,Hot-blooded,Reach Y1.,Follows the owner and aggressively attacks Elites/Bosses.,Usually improves boss hit consistency.,Yes,Current Game8 guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE016,Disposition,Pacifist,Reach Y2.,Pet neither attacks nor is attacked.,Exclude direct pet DPS; may preserve owner-buff uptime.,Conditional,Current Game8 guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE017,Disposition,Adaptable,Reach Y3.,Attacks actively but stays near the owner during boss fights.,Can improve boss targeting and buff uptime.,Yes,Current Game8 guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE018,Disposition,Energetic,Reach Y4.,Roams if the owner remains mostly still.,Useful for clearing; may reduce boss focus.,Conditional,Current Game8 guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE019,Xeno Dependency,Unlock Xeno Pets,Maintain four normal-pet awakening types at Y5.,Unlocks the Xeno Pet system; dropping below the requirement removes access temporarily.,Pet awakening has a system-unlock value beyond pet DPS.,Yes,Drive Xeno guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE020,Investment,Early Pet Priority,Early/midgame account.,Murica is the strongest straightforward direct-DPS target and is valuable from Y1.,Prioritize Murica when its boss damage is still a meaningful share of total damage.,Yes,Drive/Discord guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE021,Investment,Advanced Pet Priority,"High-crit, stronger gear account.",Rex or Croaky become strong R5 targets; source recommends one of them to R5 first.,"Simulate owner buffs, vulnerability and pet damage rather than assuming Murica forever.",Yes,Drive optimizer guidance,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE022,Investment,Balanced Affection Path,After the primary R5 target.,Raise other standard pets through cheaper Yellow stages before expensive Red stages.,Compare maximum affection ATK gained per crystal and Xeno unlock value.,Yes,Exact Drive recommendation,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE023,Modeling,Separate Pet and Owner DPS,Calculate a pet loadout.,Direct pet damage and owner buffs are separate components.,"PetDPS uses attack frequency, damage, crit, cooldown and hit consistency; owner buffs feed the main build formula.",Yes,Drive optimizer modeling rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE024,Modeling,Ignore HP in Pure DPS,Run damage-only optimization.,"Store HP, reduction, revival and invincibility but do not add them to DPS.",Add survival constraints separately when a mode requires them.,No,Project modeling rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE025,Merge,Excellent to Epic Cost,Merge normal pets.,Creating one Epic pet from Excellent requires eight Excellent copies in total.,Include copy opportunity cost before recommending an Epic/awakening breakpoint.,Yes,Current Game8 merge example,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
