Collection_ID,Collectible,Source_Name,Rarity,Edition,Affected_Gear_or_Tech,Game_Data_Description,Crit_Milestone,Yellow_1,Yellow_2,Yellow_3,Yellow_4,Yellow_5,Red_1,Red_2,Red_3,Red_4,Red_5,Additional_Modeled_Effects,Data_Status,Source_URL
81,Eye of True Vision,Eye of True Vision,Legend,4,Antimatter Generator,Legend Collectible. Used to boost Antimatter Generator,Crit Rate +10%,Antimatter Generator stat +3%,Antimatter Generator stat +3%,Antimatter Generator Better-quality skill boosted (exact wording not captured),Antimatter Generator stat +3%,Antimatter Generator Excellent-quality skill boosted (exact wording not captured),Antimatter Generator stat +3%,Antimatter Generator stat +4%,Crit Rate +10%,Antimatter Generator stat +4%,Antimatter Generator Legend-quality skill boosted (exact wording not captured),0★: Effect Multiplier 0% | 3★: Effect Multiplier 15% | 5★: Effect Multiplier 30% | 10★: Effect Multiplier 60%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=81
82,Life Hourglass,Life Hourglass,Legend,4,Hi-Maintainer,Legend Collectible. Used to boost Hi-Maintainer,Crit Rate +10%,Hi-Maintainer stat +3%,Hi-Maintainer stat +3%,Hi-Maintainer Better-quality skill boosted (exact wording not captured),Hi-Maintainer stat +3%,Hi-Maintainer Excellent-quality skill boosted (exact wording not captured),Hi-Maintainer stat +3%,Hi-Maintainer stat +4%,Crit Rate +10%,Hi-Maintainer stat +4%,Hi-Maintainer Legend-quality skill boosted (exact wording not captured),0★: Effect Multiplier 0% | 3★: Effect Multiplier 10% | 5★: Effect Multiplier 25% | 10★: Effect Multiplier 45%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=82
111,Nano-Mimetic Mask,Nano-Mimetic Mask,Legend,5,Energy Collector,Legend Collectible. Used to boost Energy Collector,Crit Damage +10%,Energy Collector stat +3%,Energy Collector stat +3%,Energy Collector Better-quality skill boosted (exact wording not captured),Energy Collector stat +3%,Energy Collector Excellent-quality skill boosted (exact wording not captured),Energy Collector stat +3%,Energy Collector stat +4%,Crit Damage +10%,Energy Collector stat +4%,Energy Collector Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=111
112,Dice of Destiny,Dice of Destiny,Legend,5,Conduction Device,Legend Collectible. Used to boost Conduction Device,Crit Damage +10%,Conduction Device stat +3%,Conduction Device stat +3%,Conduction Device Better-quality skill boosted (exact wording not captured),Conduction Device stat +3%,Conduction Device Excellent-quality skill boosted (exact wording not captured),Conduction Device stat +3%,Conduction Device stat +4%,Crit Damage +10%,Conduction Device stat +4%,Conduction Device Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=112
113,Dimension Foil,Dimension Foil,Legend,5,Voidwaker Windbreaker,Legend Collectible. Used to boost Voidwaker Windbreaker,Crit Rate +10%,Voidwaker Windbreaker stat +3%,Voidwaker Windbreaker stat +3%,Voidwaker Windbreaker Better-quality skill boosted (exact wording not captured),Voidwaker Windbreaker stat +3%,Voidwaker Windbreaker Excellent-quality skill boosted (exact wording not captured),Voidwaker Windbreaker stat +3%,Voidwaker Windbreaker stat +4%,Crit Rate +10%,Voidwaker Windbreaker stat +4%,Voidwaker Windbreaker Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=113
114,Mental Sync Helm,Mental Sync Helm,Legend,5,Eternal Boots,Legend Collectible. Used to boost Eternal Boots,Crit Rate +10%,Eternal Boots stat +3%,Eternal Boots stat +3%,Eternal Boots Better-quality skill boosted (exact wording not captured),Eternal Boots stat +3%,Eternal Boots Excellent-quality skill boosted (exact wording not captured),Eternal Boots stat +3%,Eternal Boots stat +4%,Crit Rate +10%,Eternal Boots stat +4%,Eternal Boots Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=114
141,Atomic Mech,Atomic Mech,Legend,6,Annihilator,Legend Collectible. Used to boost Annihilator,Crit Damage +10%,Annihilator stat +3%,Annihilator stat +3%,Annihilator Better-quality skill boosted (exact wording not captured),Annihilator stat +3%,Annihilator Excellent-quality skill boosted (exact wording not captured),Annihilator stat +3%,Annihilator stat +4%,Crit Damage +10%,Annihilator stat +4%,Annihilator Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=141
142,Time Essence Bottle,Time Essence Bottle,Legend,6,Gravity Controller,Legend Collectible. Used to boost Gravity Controller,Crit Damage +10%,Gravity Controller stat +3%,Gravity Controller stat +3%,Gravity Controller Better-quality skill boosted (exact wording not captured),Gravity Controller stat +3%,Gravity Controller Excellent-quality skill boosted (exact wording not captured),Gravity Controller stat +3%,Gravity Controller stat +4%,Crit Damage +10%,Gravity Controller stat +4%,Gravity Controller Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=142
143,Dragon Tooth,Dragon Tooth,Legend,6,Voidwaker Sash,Legend Collectible. Used to boost Voidwaker Sash,Crit Rate +10%,Voidwaker Sash stat +3%,Voidwaker Sash stat +3%,Voidwaker Sash Better-quality skill boosted (exact wording not captured),Voidwaker Sash stat +3%,Voidwaker Sash Excellent-quality skill boosted (exact wording not captured),Voidwaker Sash stat +3%,Voidwaker Sash stat +4%,Crit Rate +10%,Voidwaker Sash stat +4%,Voidwaker Sash Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=143
144,Hyper Neuron,Hyper Neuron,Legend,6,Voidwaker Handguards,Legend Collectible. Used to boost Voidwaker Handguards,Crit Rate +10%,Voidwaker Handguards stat +3%,Voidwaker Handguards stat +3%,Voidwaker Handguards Better-quality skill boosted (exact wording not captured),Voidwaker Handguards stat +3%,Voidwaker Handguards Excellent-quality skill boosted (exact wording not captured),Voidwaker Handguards stat +3%,Voidwaker Handguards stat +4%,Crit Rate +10%,Voidwaker Handguards stat +4%,Voidwaker Handguards Legend-quality skill boosted (exact wording not captured),10★: Boss Damage 30%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=144
171,Cyber Totem,Cyber Totem,Legend,7,Energy Diffuser,Legend Collectible. Used to boost Energy Diffuser,Crit Damage +10%,Energy Diffuser stat +3%,Energy Diffuser stat +3%,Energy Diffuser Better-quality skill boosted (exact wording not captured),Energy Diffuser stat +3%,Energy Diffuser Excellent-quality skill boosted (exact wording not captured),Energy Diffuser stat +3%,Energy Diffuser stat +4%,Crit Damage +10%,Energy Diffuser stat +4%,Energy Diffuser Legend-quality skill boosted (exact wording not captured),Model 1: 0★: Effect Multiplier 100% | 3★: Effect Multiplier 120% | 10★: Effect Multiplier 160% || Model 2: 5★: Vulnerability 10%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=171
172,Clone Mirror,Clone Mirror,Legend,7,Eternal Necklace,Legend Collectible. Used to boost Eternal Necklace,Crit Damage +10%,Eternal Necklace stat +3%,Eternal Necklace stat +3%,Eternal Necklace Better-quality skill boosted (exact wording not captured),Eternal Necklace stat +3%,Eternal Necklace Excellent-quality skill boosted (exact wording not captured),Eternal Necklace stat +3%,Eternal Necklace stat +4%,Crit Damage +10%,Eternal Necklace stat +4%,Eternal Necklace Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=172
173,Dreamscape Puzzle,Dreamscape Puzzle,Legend,7,Eternal Gloves,Legend Collectible. Used to boost Eternal Gloves,Crit Rate +10%,Eternal Gloves stat +3%,Eternal Gloves stat +3%,Eternal Gloves Better-quality skill boosted (exact wording not captured),Eternal Gloves stat +3%,Eternal Gloves Excellent-quality skill boosted (exact wording not captured),Eternal Gloves stat +3%,Eternal Gloves stat +4%,Crit Rate +10%,Eternal Gloves stat +4%,Eternal Gloves Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=173
174,Gene Splicer,Gene Splicer,Legend,7,Voidwaker Treads,Legend Collectible. Used to boost Voidwaker Treads,Crit Rate +10%,Voidwaker Treads stat +3%,Voidwaker Treads stat +3%,Voidwaker Treads Better-quality skill boosted (exact wording not captured),Voidwaker Treads stat +3%,Voidwaker Treads Excellent-quality skill boosted (exact wording not captured),Voidwaker Treads stat +3%,Voidwaker Treads stat +4%,Crit Rate +10%,Voidwaker Treads stat +4%,Voidwaker Treads Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=174
201,Memory Editor,Memory Editor,Legend,8,Voidwaker Emblem,Legend Collectible. Used to boost Voidwaker Emblem,Crit Damage +10%,Voidwaker Emblem stat +3%,Voidwaker Emblem stat +3%,Voidwaker Emblem Better-quality skill boosted (exact wording not captured),Voidwaker Emblem stat +3%,Voidwaker Emblem Excellent-quality skill boosted (exact wording not captured),Voidwaker Emblem stat +3%,Voidwaker Emblem stat +4%,Crit Damage +10%,Voidwaker Emblem stat +4%,Voidwaker Emblem Legend-quality skill boosted (exact wording not captured),3★: Crit Rate 20% | 5★: Crit Rate 20% | 10★: Void Necklace Boost 20%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=201
202,Temporal Rewinder,Temporal Rewinder,Legend,8,Stone of Cleaving,Legend Collectible. Used to boost Stone of Cleaving,Crit Damage +10%,Stone of Cleaving stat +3%,Stone of Cleaving stat +3%,Stone of Cleaving Better-quality skill boosted (exact wording not captured),Stone of Cleaving stat +3%,Stone of Cleaving Excellent-quality skill boosted (exact wording not captured),Stone of Cleaving stat +3%,Stone of Cleaving stat +4%,Crit Damage +10%,Stone of Cleaving stat +4%,Stone of Cleaving Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=202
203,Spatial Rewinder,Spatial Rewinder,Legend,8,Armor of Quietus,Legend Collectible. Used to boost Armor of Quietus,Crit Rate +10%,Armor of Quietus stat +3%,Armor of Quietus stat +3%,Armor of Quietus Better-quality skill boosted (exact wording not captured),Armor of Quietus stat +3%,Armor of Quietus Excellent-quality skill boosted (exact wording not captured),Armor of Quietus stat +3%,Armor of Quietus stat +4%,Crit Rate +10%,Armor of Quietus stat +4%,Armor of Quietus Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=203
204,Holodream Fluid,Holodream Fluid,Legend,8,Twisting Belt,Legend Collectible. Used to boost Twisting Belt,Crit Rate +10%,Twisting Belt stat +3%,Twisting Belt stat +3%,Twisting Belt Better-quality skill boosted (exact wording not captured),Twisting Belt stat +3%,Twisting Belt Excellent-quality skill boosted (exact wording not captured),Twisting Belt stat +3%,Twisting Belt stat +4%,Crit Rate +10%,Twisting Belt stat +4%,Twisting Belt Legend-quality skill boosted (exact wording not captured),3★: Maximum Energy Flux 15% | 5★: Maximum Energy Flux 15% | 10★: Maximum Energy Flux 30%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=204
231,Dark Matter Construct,Dark Matter Construct,Legend,9,"Precision Device, Energy Guidance System (Drone Mode)","Legend Collectible. Used to boost Precision Device, Energy Guidance System (Drone Mode)",Crit Damage +10%,"Precision Device, Energy Guidance System (Drone Mode) stat +3%","Precision Device, Energy Guidance System (Drone Mode) stat +3%","Precision Device, Energy Guidance System (Drone Mode) Better-quality skill boosted (exact wording not captured)","Precision Device, Energy Guidance System (Drone Mode) stat +3%","Precision Device, Energy Guidance System (Drone Mode) Excellent-quality skill boosted (exact wording not captured)","Precision Device, Energy Guidance System (Drone Mode) stat +3%","Precision Device, Energy Guidance System (Drone Mode) stat +4%",Crit Damage +10%,"Precision Device, Energy Guidance System (Drone Mode) stat +4%","Precision Device, Energy Guidance System (Drone Mode) Legend-quality skill boosted (exact wording not captured)",Model 1: 3★: Internal Effect H2 5% | 5★: Internal Effect H2 15% | 10★: Internal Effect H2 30% || Model 2: 3★: Internal Effect H1 5% | 5★: Internal Effect H1 15% | 10★: Internal Effect H1 30%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=231
232,Timeline Cube,Timeline Cube,Legend,9,Chaos Gauntlet,Legend Collectible. Used to boost Chaos Gauntlet,Crit Damage +10%,Chaos Gauntlet stat +3%,Chaos Gauntlet stat +3%,Chaos Gauntlet Better-quality skill boosted (exact wording not captured),Chaos Gauntlet stat +3%,Chaos Gauntlet Excellent-quality skill boosted (exact wording not captured),Chaos Gauntlet stat +3%,Chaos Gauntlet stat +4%,Crit Damage +10%,Chaos Gauntlet stat +4%,Chaos Gauntlet Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=232
233,Omni-Symbiote,Omni-Symbiote,Legend,9,Eternal Suit,Legend Collectible. Used to boost Eternal Suit,Crit Rate +10%,Eternal Suit stat +3%,Eternal Suit stat +3%,Eternal Suit Better-quality skill boosted (exact wording not captured),Eternal Suit stat +3%,Eternal Suit Excellent-quality skill boosted (exact wording not captured),Eternal Suit stat +3%,Eternal Suit stat +4%,Crit Rate +10%,Eternal Suit stat +4%,Eternal Suit Legend-quality skill boosted (exact wording not captured),10★: Skill Damage 20%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=233
234,Prophet's Tarot,Prophet's Tarot,Legend,9,Shoes of Confusion,Legend Collectible. Used to boost Shoes of Confusion,Crit Rate +10%,Shoes of Confusion stat +3%,Shoes of Confusion stat +3%,Shoes of Confusion Better-quality skill boosted (exact wording not captured),Shoes of Confusion stat +3%,Shoes of Confusion Excellent-quality skill boosted (exact wording not captured),Shoes of Confusion stat +3%,Shoes of Confusion stat +4%,Crit Rate +10%,Shoes of Confusion stat +4%,Shoes of Confusion Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=234
261,Aquarius Starlight,Aquarius Starlight,Legend,10,"Antimatter Generator, Antimatter Maintainer (Drill Shot Mode)","Legend Collectible. Used to boost Antimatter Generator, Antimatter Maintainer (Drill Shot Mode)",Crit Damage +10%,"Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) stat +3%","Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) stat +3%","Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) Better-quality skill boosted (exact wording not captured)","Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) stat +3%","Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) Excellent-quality skill boosted (exact wording not captured)","Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) stat +3%","Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) stat +4%",Crit Damage +10%,"Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) stat +4%","Antimatter Generator, Antimatter Maintainer (Drill Shot Mode) Legend-quality skill boosted (exact wording not captured)",Model 1: 0★: Effect Multiplier 0% | 3★: Effect Multiplier 2% | 5★: Effect Multiplier 4% | 10★: Effect Multiplier 8% || Model 2: 0★: Internal Effect H5 0% | 3★: Internal Effect H5 2% | 5★: Internal Effect H5 4% | 10★: Internal Effect H5 8%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=261
262,Pisces Starlight,Pisces Starlight,Legend,10,"Phase Converter, Phase Driver (Lightning Mode)","Legend Collectible. Used to boost Phase Converter, Phase Driver (Lightning Mode)",Crit Damage +10%,"Phase Converter, Phase Driver (Lightning Mode) stat +3%","Phase Converter, Phase Driver (Lightning Mode) stat +3%","Phase Converter, Phase Driver (Lightning Mode) Better-quality skill boosted (exact wording not captured)","Phase Converter, Phase Driver (Lightning Mode) stat +3%","Phase Converter, Phase Driver (Lightning Mode) Excellent-quality skill boosted (exact wording not captured)","Phase Converter, Phase Driver (Lightning Mode) stat +3%","Phase Converter, Phase Driver (Lightning Mode) stat +4%",Crit Damage +10%,"Phase Converter, Phase Driver (Lightning Mode) stat +4%","Phase Converter, Phase Driver (Lightning Mode) Legend-quality skill boosted (exact wording not captured)",0★: Internal Effect H1 0% | 3★: Internal Effect H1 2% | 5★: Internal Effect H1 4% | 10★: Internal Effect H1 7%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=262
263,Aries Starlight,Aries Starlight,Legend,10,Eternal Boots,Legend Collectible. Used to boost Eternal Boots,Crit Rate +10%,Eternal Boots stat +3%,Eternal Boots stat +3%,Eternal Boots Better-quality skill boosted (exact wording not captured),Eternal Boots stat +3%,Eternal Boots Excellent-quality skill boosted (exact wording not captured),Eternal Boots stat +3%,Eternal Boots stat +4%,Crit Rate +10%,Eternal Boots stat +4%,Eternal Boots Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=263
264,Taurus Starlight,Taurus Starlight,Legend,10,Twisting Belt,Legend Collectible. Used to boost Twisting Belt,Crit Rate +10%,Twisting Belt stat +3%,Twisting Belt stat +3%,Twisting Belt Better-quality skill boosted (exact wording not captured),Twisting Belt stat +3%,Twisting Belt Excellent-quality skill boosted (exact wording not captured),Twisting Belt stat +3%,Twisting Belt stat +4%,Crit Rate +10%,Twisting Belt stat +4%,Twisting Belt Legend-quality skill boosted (exact wording not captured),3★: Maximum Energy Flux 15% | 5★: Maximum Energy Flux 15% | 10★: Maximum Energy Flux 30%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=264
3,Golden Cutlery,Golden Cutlery,Epic,1,Eternal Necklace,EpicCollectible. Used to boost Eternal Necklace,Crit Damage +5%,Eternal Necklace ATK +2%,Eternal Necklace ATK +2%,"Eternal Necklace Better-quality skill boosted: The higher the target's HP, the more damage dealt (maximum +50% +20%)",Eternal Necklace ATK +2%,Eternal Necklace Excellent-quality skill boosted: Damage to enemies at full HP +100% +40%,Eternal Necklace ATK +3%,Eternal Necklace ATK +3%,Crit Damage +5%,Eternal Necklace ATK +3%,Eternal Necklace Legend-quality skill boosted: All passive effects +15% +6% in battle,,Full effect text retrieved directly from GarryTools,https://garrytools.com/collections/info?collectionId=3
4,Old Medical Book,Old Medical Book,Epic,1,Voidwaker Windbreaker,EpicCollectible. Used to boost Voidwaker Windbreaker,Crit Rate +5%,Voidwaker Windbreaker stat +2%,Voidwaker Windbreaker stat +2%,Voidwaker Windbreaker Better-quality skill boosted (exact wording not captured),Voidwaker Windbreaker stat +2%,Voidwaker Windbreaker Excellent-quality skill boosted (exact wording not captured),Voidwaker Windbreaker stat +3%,Voidwaker Windbreaker stat +3%,Crit Rate +5%,Voidwaker Windbreaker stat +3%,Voidwaker Windbreaker Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=4
5,Savior's Memento,Savior's Memento,Epic,1,Voidwaker Handguards,EpicCollectible. Used to boost Voidwaker Handguards,Crit Damage +5%,Voidwaker Handguards stat +2%,Voidwaker Handguards stat +2%,Voidwaker Handguards Better-quality skill boosted (exact wording not captured),Voidwaker Handguards stat +2%,Voidwaker Handguards Excellent-quality skill boosted (exact wording not captured),Voidwaker Handguards stat +3%,Voidwaker Handguards stat +3%,Crit Damage +5%,Voidwaker Handguards stat +3%,Voidwaker Handguards Legend-quality skill boosted (exact wording not captured),5★: Boss Damage 20%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=5
6,Safehouse Map,Safehouse Map,Epic,1,Twisting Belt,EpicCollectible. Used to boost Twisting Belt,Crit Damage +5%,Twisting Belt stat +2%,Twisting Belt stat +2%,Twisting Belt Better-quality skill boosted (exact wording not captured),Twisting Belt stat +2%,Twisting Belt Excellent-quality skill boosted (exact wording not captured),Twisting Belt stat +3%,Twisting Belt stat +3%,Crit Damage +5%,Twisting Belt stat +3%,Twisting Belt Legend-quality skill boosted (exact wording not captured),5★: Maximum Energy Flux 10% | 10★: Maximum Energy Flux 10%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=6
33,Lucky Charm,Lucky Charm,Epic,2,Voidwaker Emblem,Epic Collectible. Used to boost Voidwaker Emblem,Crit Rate +5%,Voidwaker Emblem stat +2%,Voidwaker Emblem stat +2%,Voidwaker Emblem Better-quality skill boosted (exact wording not captured),Voidwaker Emblem stat +2%,Voidwaker Emblem Excellent-quality skill boosted (exact wording not captured),Voidwaker Emblem stat +3%,Voidwaker Emblem stat +3%,Crit Rate +5%,Voidwaker Emblem stat +3%,Voidwaker Emblem Legend-quality skill boosted (exact wording not captured),5★: Void Necklace Boost 10% | 10★: Crit Rate 10%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=33
35,Scientific Luminary's Journal,Scientific Luminary's Journal,Epic,2,Shoes of Confusion,Epic Collectible. Used to boost Shoes of Confusion,Crit Rate +5%,Shoes of Confusion stat +2%,Shoes of Confusion stat +2%,Shoes of Confusion Better-quality skill boosted (exact wording not captured),Shoes of Confusion stat +2%,Shoes of Confusion Excellent-quality skill boosted (exact wording not captured),Shoes of Confusion stat +3%,Shoes of Confusion stat +3%,Crit Rate +5%,Shoes of Confusion stat +3%,Shoes of Confusion Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=35
