Pet_ID,Pet,Aliases,Role,Guide_Rank,Guide_Tier,Stage_Index,Awakening_Stage,Stage_Display,Direct_Damage_Model_Coefficient,Stage_Incremental_Owner_Bonus,Cumulative_Owner_Bonus,R5_Global_Account_Bonus,Base_Status_or_Mechanic,Awakening_Power_Tier,Resonance_Chance_Skill_Cap_Per_Pet,Resonance_Damage_Skill_Cap_Per_Pet,Shield_Damage_Skill_Cap_Per_Pet,Poisoned_Damage_Skill_Cap_Per_Pet,Weakened_Damage_Skill_Cap_Per_Pet,Chilled_Damage_Skill_Cap_Per_Pet,ATK_Percent_Skill_Cap_Per_Pet,Known_Cumulative_Xeno_Cores,Known_Cumulative_Awakening_Crystals,Cost_Status,Stage_Unlock_Notes,Recommended_Status_Skill,Data_Status,Primary_Source_URLs
XP01,Capy,Cappy,Skill-damage buffer / balanced attacker,4,Mid,10,R5,Red 5 Stars,96.089,Skill Damage +40%,Skill Damage +80%,"Skill Damage +50%, Xeno Skill Damage +60%",No permanent elemental status is modeled.,Resonance Damage,30,30,40,50,50,50,40,50,450,Current advanced guide; cumulative values,"Maximum awakening: second owner-bonus package, global account bonus, and maximum offensive assist-skill caps.",Damage to Chilled is the usual status choice; switch only when another positive status pool is stronger.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,0,Unawakened,None,2.6,,,,No permanent elemental status is modeled.,,0,0,0,0,0,0,0,0,0,Exact starting value,Base Xeno Pet. One random assist skill is available at Level 1.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,1,Y1,Yellow 1 Star,4.264,,,,No permanent elemental status is modeled.,Skill Damage,3,3,4,5,5,5,4,,,Exact cumulative cost not captured,Raises assist-skill reforge caps and contributes to Awakening Power: Skill Damage.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,2,Y2,Yellow 2 Stars,6.182,,,,No permanent elemental status is modeled.,Crit Damage,6,6,8,10,10,10,8,,,Exact cumulative cost not captured,Raises assist-skill reforge caps and contributes to Awakening Power: Crit Damage.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,3,Y3,Yellow 3 Stars,9.768,,,,No permanent elemental status is modeled.,Resonance Damage,6,6,8,10,10,10,8,2,,Inferred from Drive: 8 Xeno Cores awaken four additional pets to Y3,Raises assist-skill reforge caps and contributes to Awakening Power: Resonance Damage.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,4,Y4,Yellow 4 Stars,14.36,"Crit Rate +15%, Crit Damage +40%","Crit Rate +15%, Crit Damage +40%",,No permanent elemental status is modeled.,Damage to Chilled,9,9,12,15,15,15,12,4,130,Current community cost guide; cumulative values,Primary owner-bonus breakpoint. This is the first major stage where Xeno Pets become broadly relevant.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,5,Y5,Yellow 5 Stars,25.417,,"Crit Rate +15%, Crit Damage +40%",,No permanent elemental status is modeled.,Damage to Poisoned,9,9,12,15,15,15,12,,,Exact cumulative cost not captured,Raises assist-skill reforge caps and contributes to Awakening Power: Damage to Poisoned.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,6,R1,Red 1 Star,40.668,,"Crit Rate +15%, Crit Damage +40%",,No permanent elemental status is modeled.,Damage to Weakened,15,15,20,25,25,25,20,,,Exact cumulative cost not captured; commonly used intermediate breakpoint,Raises assist-skill reforge caps and contributes to Awakening Power: Damage to Weakened.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,7,R2,Red 2 Stars,50.021,,"Crit Rate +15%, Crit Damage +40%",,No permanent elemental status is modeled.,Resonance Damage,15,15,20,25,25,25,20,17,,Inferred from 21-core Assist Slot 3 requirement less one 4-core support pet,Raises assist-skill reforge caps and contributes to Awakening Power: Resonance Damage.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,8,R3,Red 3 Stars,76.032,,"Crit Rate +15%, Crit Damage +40%",,No permanent elemental status is modeled.,Shield Damage,22.5,22.5,30,37.5,37.5,37.5,30,25,,Current community cost guide; cumulative Xeno Cores,Raises assist-skill reforge caps and contributes to Awakening Power: Shield Damage.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,9,R4,Red 4 Stars,91.239,,"Crit Rate +15%, Crit Damage +40%",,No permanent elemental status is modeled.,Sync Rate,22.5,22.5,30,37.5,37.5,37.5,30,,,Exact cumulative cost not captured,Raises assist-skill reforge caps and contributes to Awakening Power: Sync Rate.,Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP02,Clucker,Crucker (internal model spelling),Crit Rate and Crit Damage buffer,6,Low / situational,10,R5,Red 5 Stars,109.487,"Crit Rate +15%, Crit Damage +40%","Crit Rate +30%, Crit Damage +80%","Crit Damage +50%, Xeno Skill Damage +60%",No permanent elemental status is modeled.,Resonance Damage,30,30,40,50,50,50,40,50,450,Current advanced guide; cumulative values,"Maximum awakening: second owner-bonus package, global account bonus, and maximum offensive assist-skill caps.",Damage to Chilled is the default status choice; use ATK after Resonance Chance reaches 100%.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP03,Puffo,Puffer / Buffo (community spellings),Poison and Weaken status support,5,Mid,0,Unawakened,None,2.079,,,,Current model treats Poison and Weaken as continuously applied while Puffo is active.,,0,0,0,0,0,0,0,0,0,Exact starting value,Base Xeno Pet. One random assist skill is available at Level 1.,Damage to Chilled is usually strongest; Poisoned or Weakened can replace it when those pools remain positive.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP03,Puffo,Puffer / Buffo (community spellings),Poison and Weaken status support,5,Mid,1,Y1,Yellow 1 Star,2.426,,,,Current model treats Poison and Weaken as continuously applied while Puffo is active.,Skill Damage,3,3,4,5,5,5,4,,,Exact cumulative cost not captured,Raises assist-skill reforge caps and contributes to Awakening Power: Skill Damage.,Damage to Chilled is usually strongest; Poisoned or Weakened can replace it when those pools remain positive.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP03,Puffo,Puffer / Buffo (community spellings),Poison and Weaken status support,5,Mid,2,Y2,Yellow 2 Stars,2.973,,,,Current model treats Poison and Weaken as continuously applied while Puffo is active.,Crit Damage,6,6,8,10,10,10,8,,,Exact cumulative cost not captured,Raises assist-skill reforge caps and contributes to Awakening Power: Crit Damage.,Damage to Chilled is usually strongest; Poisoned or Weakened can replace it when those pools remain positive.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP03,Puffo,Puffer / Buffo (community spellings),Poison and Weaken status support,5,Mid,3,Y3,Yellow 3 Stars,3.475,,,,Current model treats Poison and Weaken as continuously applied while Puffo is active.,Resonance Damage,6,6,8,10,10,10,8,2,,Inferred from Drive: 8 Xeno Cores awaken four additional pets to Y3,Raises assist-skill reforge caps and contributes to Awakening Power: Resonance Damage.,Damage to Chilled is usually strongest; Poisoned or Weakened can replace it when those pools remain positive.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP03,Puffo,Puffer / Buffo (community spellings),Poison and Weaken status support,5,Mid,4,Y4,Yellow 4 Stars,5.473,Damage to Poisoned +70%,Damage to Poisoned +70%,,Current model treats Poison and Weaken as continuously applied while Puffo is active.,Damage to Chilled,9,9,12,15,15,15,12,4,130,Current community cost guide; cumulative values,Primary owner-bonus breakpoint. This is the first major stage where Xeno Pets become broadly relevant.,Damage to Chilled is usually strongest; Poisoned or Weakened can replace it when those pools remain positive.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP03,Puffo,Puffer / Buffo (community spellings),Poison and Weaken status support,5,Mid,5,Y5,Yellow 5 Stars,6.828,,Damage to Poisoned +70%,,Current model treats Poison and Weaken as continuously applied while Puffo is active.,Damage to Poisoned,9,9,12,15,15,15,12,,,Exact cumulative cost not captured,Raises assist-skill reforge caps and contributes to Awakening Power: Damage to Poisoned.,Damage to Chilled is usually strongest; Poisoned or Weakened can replace it when those pools remain positive.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP03,Puffo,Puffer / Buffo (community spellings),Poison and Weaken status support,5,Mid,6,R1,Red 1 Star,10.75,,Damage to Poisoned +70%,,Current model treats Poison and Weaken as continuously applied while Puffo is active.,Damage to Weakened,15,15,20,25,25,25,20,,,Exact cumulative cost not captured; commonly used intermediate breakpoint,Raises assist-skill reforge caps and contributes to Awakening Power: Damage to Weakened.,Damage to Chilled is usually strongest; Poisoned or Weakened can replace it when those pools remain positive.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
XP03,Puffo,Puffer / Buffo (community spellings),Poison and Weaken status support,5,Mid,7,R2,Red 2 Stars,11.912,,Damage to Poisoned +70%,,Current model treats Poison and Weaken as continuously applied while Puffo is active.,Resonance Damage,15,15,20,25,25,25,20,17,,Inferred from 21-core Assist Slot 3 requirement less one 4-core support pet,Raises assist-skill reforge caps and contributes to Awakening Power: Resonance Damage.,Damage to Chilled is usually strongest; Poisoned or Weakened can replace it when those pools remain positive.,"Owner/global bonuses, damage coefficients and assist-skill caps from current supplied sIO Tools model; system rules cross-checked with Drive and current guides.",https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://github.com/Rifffi/survivor-io-wiki.github.io
