Equipment_ID,Slot,Equipment,Aliases,Equipment_Tier,Faction,Primary_Equipment_Stat,Normal,Good,Better,Excellent,Epic,Legend,Relic,Source_Status,Drive_Source_URL,Wiki_or_Web_Source_URL
EQ019,Gloves,Fingerless Gloves,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,1% chance to instantly defeat non-boss monsters.,"Damage +3% for every 200 monsters killed, up to +30%.",ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1s38RH7uJzsz_wgHhCgYxY5LaKNZ9LB11,https://survivorio.fandom.com/wiki/Fingerless_Gloves
EQ020,Gloves,Chaos Gauntlet,,S,Chaos,ATK,No quality skill.,Judgement: Defeating an enemy either revives it or defeats another enemy. Ineffective on Elites and Bosses; revivals do not affect monster drops.,ATK +15%.,Final Penance: A revived enemy is defeated again and definitely triggers Deathly Judgement.,ATK +25%.,"Pardon: If a revived enemy is not defeated within 1 second, it is exiled and leaves battle.",Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1s38RH7uJzsz_wgHhCgYxY5LaKNZ9LB11,https://survivorio.fandom.com/wiki/Chaos_Gauntlet
EQ021,Gloves,Leather Gloves,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,Attacks have a 5% chance to Crit.,Crit Damage +50%; Crits also inflict Bleed.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1s38RH7uJzsz_wgHhCgYxY5LaKNZ9LB11,https://survivorio.fandom.com/wiki/Leather_Gloves
EQ022,Gloves,Army Gloves,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,Damage to Elites and Bosses +20%.,Damage to Elites and Bosses increases to +50%.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1s38RH7uJzsz_wgHhCgYxY5LaKNZ9LB11,https://survivorio.fandom.com/wiki/Army_Gloves
EQ023,Gloves,Shiny Wristguard,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,Creates a minor explosion when monsters die.,Monster-death explosion damage doubled.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1s38RH7uJzsz_wgHhCgYxY5LaKNZ9LB11,https://survivorio.fandom.com/wiki/Shiny_Wristguard
EQ024,Gloves,Protective Gloves,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,Killed monsters leave radiation rings that deal damage over time.,All radiation-ring ranges doubled.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1s38RH7uJzsz_wgHhCgYxY5LaKNZ9LB11,https://survivorio.fandom.com/wiki/Protective_Gloves
EQ025,Armor,Eternal Suit,,S,Eternal,HP,No quality skill.,Revives with full HP once.,HP +15%.,"After revival, ATK +15% and Movement Speed +15%.",HP +25%.,+1 additional revival.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1hrb-ucgWK1SWIofuQO4kxlC1BnCTWmHx,https://survivorio.fandom.com/wiki/Eternal_Suit
EQ026,Armor,Voidwaker Windbreaker,,S,Void,HP,No quality skill.,"Gain Berserk for 5 seconds when dying. During Berserk, skill damage can absorb HP. Activates once per battle and resets on revival.",HP +15%.,Berserk duration extends to 10 seconds; the hero is also immune to death during Berserk.,HP +25%.,Excess HP absorbed during Berserk is converted into an Energy Shield.,Not applicable.,Drive chart transcribed; wording cross-checked against current community equipment tables,https://drive.google.com/file/d/1hrb-ucgWK1SWIofuQO4kxlC1BnCTWmHx,https://survivorio.fandom.com/wiki/Voidwaker_Windbreaker
EQ027,Armor,Armor of Quietus,,S,Chaos,HP,No quality skill.,Deathword: The match does not end when the hero dies. Enter Soul state for 10 seconds; the hero is invincible and cannot restore HP. Win if the final boss is defeated during this time.,HP +15%.,Oversoul Form: ATK +30% in Soul state; Soul-state duration increases to 20 seconds.,HP +25%.,"Infernal Emissary: Defeating monsters in Soul state extends its duration, without exceeding the maximum.",Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1hrb-ucgWK1SWIofuQO4kxlC1BnCTWmHx,https://survivorio.fandom.com/wiki/Armor_of_Quietus
EQ028,Armor,Full Metal Suit,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +15%.,Revive once with 50% HP after dying in battle.,Revive with full HP; ATK +10% and Movement Speed +10%.,HP +20%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1hrb-ucgWK1SWIofuQO4kxlC1BnCTWmHx,https://survivorio.fandom.com/wiki/Full_Metal_Suit
EQ029,Armor,Traveler's Jacket,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +15%.,All healing +20%.,Heal 5% HP for every 200 monsters killed.,HP +20%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1hrb-ucgWK1SWIofuQO4kxlC1BnCTWmHx,https://survivorio.fandom.com/wiki/Traveler%27s_Jacket
EQ030,Armor,Carapace,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +15%.,"Bullet damage received -100%, weakened by +10 percentage points for each bullet received, down to 0% reduction.","While bullet-damage reduction is active, being hit by a bullet creates a storm that blows enemies away and nullifies shots.",HP +20%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1hrb-ucgWK1SWIofuQO4kxlC1BnCTWmHx,https://survivorio.fandom.com/wiki/Carapace
EQ031,Armor,Army Uniform,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +15%.,Gain Inspire after defeating an Elite or Boss. Inspire heals 3% HP every 5 seconds and fades when the hero is hit.,Inspire healing increases to 10% HP every 5 seconds.,HP +20%.,Not applicable.,Drive chart transcribed and cross-checked against current community equipment tables,https://drive.google.com/file/d/1hrb-ucgWK1SWIofuQO4kxlC1BnCTWmHx,https://survivorio.fandom.com/wiki/Army_Uniform
EQ032,Armor,Protective Suit,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +15%.,Releases a radiation pulse when the hero is hit.,Radiation-pulse range increases and gains knockback.,HP +20%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1hrb-ucgWK1SWIofuQO4kxlC1BnCTWmHx,https://survivorio.fandom.com/wiki/Protective_Suit
EQ033,Belt,Twisting Belt,,S,Chaos,HP,No quality skill.,Revival effect +20%.,HP +15%.,Energy Flux: All skills deal between 80% and 150% damage.,HP +25%.,Directional Deviation: Energy Flux range improves to 90%-160% damage.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Tgp2LEt4cWQ4e_CEouXn0X_M8I8TWBD-,https://survivorio.fandom.com/wiki/Twisting_Belt
EQ034,Belt,Eternal Belt,,S,Eternal,HP,No quality skill.,Revival effect +20%.,HP +15%.,Triggers invincibility for 3 seconds before being hit; triggers once per minute.,HP +25%.,ATK +50% for 3 seconds while invincible.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Tgp2LEt4cWQ4e_CEouXn0X_M8I8TWBD-,https://survivorio.fandom.com/wiki/Eternal_Belt
EQ035,Belt,Stylish Belt,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,Gain a shield that blocks 1 instance of damage for every 200 monsters killed.,The shield also grants damage immunity for 1 second.,HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Tgp2LEt4cWQ4e_CEouXn0X_M8I8TWBD-,https://survivorio.fandom.com/wiki/Stylish_Belt
EQ036,Belt,Leather Belt,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,"Healing +5% when looting food, up to +30%.","Movement Speed +5% when looting food, up to +30%.",HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Tgp2LEt4cWQ4e_CEouXn0X_M8I8TWBD-,https://survivorio.fandom.com/wiki/Leather_Belt
EQ037,Belt,Voidwaker Sash,,S,Void,HP,No quality skill.,Revival effect +20%.,HP +15%.,Gain Hardened for 5 seconds after every 500 enemy kills: immune to projectile damage.,HP +25%.,"While Hardened, immune to all damage and collisions instantly defeat minions.",Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Tgp2LEt4cWQ4e_CEouXn0X_M8I8TWBD-,https://survivorio.fandom.com/wiki/Voidwaker_Sash
EQ038,Belt,Army Belt,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,Gain Inspire after defeating an Elite or Boss and gain 1 Shockwave Shield.,"When Shockwave triggers, gain Dominator for 5 seconds: damage +100%, Movement Speed +100%, and cooldown reduction is maximized.",HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Tgp2LEt4cWQ4e_CEouXn0X_M8I8TWBD-,https://survivorio.fandom.com/wiki/Army_Belt
EQ039,Belt,Waist Sensor,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,Movement Speed +20% while above 50% HP.,Damage received -20% while below 50% HP.,HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Tgp2LEt4cWQ4e_CEouXn0X_M8I8TWBD-,https://survivorio.fandom.com/wiki/Waist_Sensor
EQ040,Belt,Broad Waistguard,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,"Releases 1 radiation pulse when healing, dealing damage proportional to HP healed.",All radiation-pulse damage doubled.,HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Tgp2LEt4cWQ4e_CEouXn0X_M8I8TWBD-,https://survivorio.fandom.com/wiki/Broad_Waistguard
EQ041,Boots,Voidwaker Treads,,S,Void,HP,No quality skill.,Base Movement Speed +2.,HP +15%.,"Apex Species: Movement Speed +10% for every 500 enemies killed, up to +50%.",HP +25%.,"Predator: Deals proportionally more damage to enemies moving slower than the hero, up to +50%.",Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1wR1xHliXxmChUr0I1GN3DmDa7tLkK7iF,https://survivorio.fandom.com/wiki/Voidwaker_Treads
EQ042,Boots,Eternal Boots,,S,Eternal,HP,No quality skill.,Base Movement Speed +2.,HP +15%.,Leaves a trail of fire while moving.,HP +25%.,Increases fire-trail damage and Slows enemies.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1wR1xHliXxmChUr0I1GN3DmDa7tLkK7iF,https://survivorio.fandom.com/wiki/Eternal_Boots
EQ043,Boots,Light Runners,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,Damage received -20% for 3 seconds after taking damage.,Damage +20% for 3 seconds after defeating an enemy.,HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1wR1xHliXxmChUr0I1GN3DmDa7tLkK7iF,https://survivorio.fandom.com/wiki/Light_Runners
EQ044,Boots,Shoes of Confusion,,S,Chaos,HP,No quality skill.,Base Movement Speed +2.,HP +15%.,Lost: Joystick directions reverse every 15 seconds. Healing effects +50% in the correct direction; damage received -50% in the opposite direction.,HP +25%.,"BounceBack: Controls ignore opposite directions, but Movement Speed bonuses no longer apply. Immune to death while in the opposite direction and damage +50%.",Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1wR1xHliXxmChUr0I1GN3DmDa7tLkK7iF,https://survivorio.fandom.com/wiki/Shoes_of_Confusion
EQ045,Boots,Army Boots,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,Gain Inspire after defeating an Elite or Boss. Inspire grants Movement Speed +30% and fades when the hero is hit.,Skill cooldown -30% while Inspired.,HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1wR1xHliXxmChUr0I1GN3DmDa7tLkK7iF,https://survivorio.fandom.com/wiki/Army_Boots
EQ046,Boots,Prosthetic Legs,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,Base Movement Speed +1.,Heal 1% HP every 3 seconds while moving.,HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1wR1xHliXxmChUr0I1GN3DmDa7tLkK7iF,https://survivorio.fandom.com/wiki/Prosthetic_Legs
EQ047,Boots,Layered Snowshoes,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,Leaves radiation rings that deal damage over time while moving.,Base Movement Speed +2 for 2 seconds when spawning radiation rings.,HP +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1wR1xHliXxmChUr0I1GN3DmDa7tLkK7iF,https://survivorio.fandom.com/wiki/Layered_Snowshoes
EQ048,Boots,Highboots,,Normal,Standard,HP,No quality skill.,No quality skill.,HP +10%.,Gain Forced March for 5 seconds after every 200 monsters killed: Movement Speed +30%. Does not stack.,"During Forced March, immune to bullet damage and collision damage received -20%.",HP +15%.,Not applicable.,Drive chart used where community pages disagree on collision-damage reduction,https://drive.google.com/file/d/1wR1xHliXxmChUr0I1GN3DmDa7tLkK7iF,https://survivorio.fandom.com/wiki/Highboots
EQ049,Weapon,Twin Lance - Starforged Havoc,Twin Lance,SS,Eternal + Void,ATK,Not applicable; SS equipment is crafted directly at Relic.,ATK +15%.,"Starforge: Triggers Energy Overload once for every 2 Eternity Ray shots, increasing Skill Damage by 30% for 10 seconds. Maximum 2 stacks.",Starforged Havoc: Havoc Thrust damage increases as HP decreases.,ATK +25%.,Havoc Nova: Releases Void power during a thrust. Targets hit by Void Fissure take 10% additional damage.,Havoc Nova+: The outermost Eternity Ray ring gains Suppression Force.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5,https://survivorio.fandom.com/wiki/Twin_Lance_Starforged_Havoc
EQ050,Armor,Evervoid Armor - Starforged Havoc,Evervoid Armour,SS,Eternal + Void,HP,Not applicable; SS equipment is crafted directly at Relic.,Skill-choice chances when the match starts +1.,HP +15%.,Adversity: Gain an Energy Shield equal to 30% of Max HP when dying. Once per battle; resets on revival.,HP +25%.,Clarity: Skill Damage +20%. Effect fades on death.,"Preservation: HP recovery from supplies also restores 10% Energy Shield. Shield recovery cannot exceed maximum shield HP, capped at 100% HP.",Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5,https://survivorio.fandom.com/wiki/Evervoid_Armour_Starforged_Havoc
EQ051,Necklace,Judgment Necklace - Starforged Havoc,Judgement Necklace,SS,Eternal + Void,ATK,Not applicable; SS equipment is crafted directly at Relic.,"Hatred: On hit, inflicts Weaken on the attacker, reducing its ATK by 10%.",ATK +15%.,Defensive Stance: Restores 15% Energy Shield when a skill levels up.,ATK +25%.,"Potential Unleashed: Passive skills learned in battle, including character-exclusive passives, can be upgraded to Red Star.",Amplify: Damage to Weakened targets +25%.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5,https://survivorio.fandom.com/wiki/Judgement_Necklace_-_Starforged_Havoc
EQ052,Belt,Stardust Sash - Starforged Havoc,Stardush Sash,SS,Eternal + Void,HP,Not applicable; SS equipment is crafted directly at Relic.,Revival effect +35%.,HP +15%.,"Toughened Armor: When attacked, become immune to all damage for 5 seconds; collisions instantly defeat minions. 60-second cooldown.",HP +25%.,Eternal Recharge: An Energy Orb drops every 500 hits. Collect orbs to raise energy level up to Lv.5; each level grants +5% damage multiplier. Energy drains over time.,"Super Enhance: While total energy is above 90%, additional Skill Damage +30%.",Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5,https://survivorio.fandom.com/wiki/Stardust_Sash_-_Starforged_Havoc
EQ053,Gloves,Moonscar Bracer - Starforged Havoc,SS Gloves,SS,Eternal + Void,ATK,Not applicable; SS equipment is crafted directly at Relic.,"Battle Intent: Crit Rate +5% for every 500 effective attacks in battle, up to +30%.",ATK +15%.,"Restores 0.5% Energy Shield when a critical hit defeats a monster, up to 5 times per second.",ATK +25%.,Shield Damage +10%.,Light's Judgment: Fires 1 Eternal Laser every 10 seconds. Marks 1 boss 10 seconds before firing and enters Charging Attack state. Damage dealt to that boss during charging is converted into stored damage and released by the laser; stored damage is not further affected by attack multipliers.,Exact quality effects transcribed from the Google Drive SS chart; public wiki page is incomplete,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5,https://survivorio.fandom.com/wiki/Moonscar_Bracer_-_Starforged_Havoc
EQ054,Boots,Glacial Warboots - Starforged Havoc,SS Boots,SS,Eternal + Void,HP,Not applicable; SS equipment is crafted directly at Relic.,Base Movement Speed +3.,HP +15%.,Crystal Trail: Moving leaves a trail of ice blocks lasting 10 seconds. The trail explodes when it expires; enemies touching the trail or explosion are Chilled for 10 seconds. Does not stack.,HP +25%.,Damage to Chilled enemies +15%.,"Glacial Bloodline: Moving charges the effect faster at higher speed; charge weakens when movement stops. At full charge, gain 1 stack. Each stack grants +12% damage for 15 seconds, up to 5 stacks; gaining a stack refreshes the duration.",Exact quality effects transcribed from the Google Drive SS chart; public wiki page is incomplete,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5,https://survivorio.fandom.com/wiki/Glacial_Warboots_-_Starforged_Havoc
