Set_ID,Set_Name,Set_Type,Collectible_1,Collectible_2,Collectible_3,Collectible_4,Unlock_Order,Requirement_Type,Required_Value,Unlock_Requirement,Reward,Reward_Tags,Data_Status,Member_Data_Status,Source_URL
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Safehouse Map,Terraforming Seed,Gas Mask,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/wasteland-survival
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Safehouse Map,Terraforming Seed,Gas Mask,5,Total Red Stars,18,Get 18 total Red Stars,"Final ATK +250, Final HP +1000",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/wasteland-survival
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Safehouse Map,Terraforming Seed,Gas Mask,6,Total Stars,8,Get 8 Stars,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/wasteland-survival
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Safehouse Map,Terraforming Seed,Gas Mask,7,Total Stars,16,Get 16 Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/wasteland-survival
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Safehouse Map,Terraforming Seed,Gas Mask,8,Total Stars,24,Get 24 Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/wasteland-survival
SET005,Rescue Operation,Mixed / Unknown,,,,,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/rescue-operation
SET005,Rescue Operation,Mixed / Unknown,,,,,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/rescue-operation
SET005,Rescue Operation,Mixed / Unknown,,,,,3,Total Gold Stars,18,Get 18 total Gold Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/rescue-operation
SET005,Rescue Operation,Mixed / Unknown,,,,,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/rescue-operation
SET005,Rescue Operation,Mixed / Unknown,,,,,5,Total Red Stars,18,Get 18 total Red Stars,"Final ATK +250, Final HP +1000",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/rescue-operation
SET005,Rescue Operation,Mixed / Unknown,,,,,6,Total Stars,8,Get 8 Stars,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/rescue-operation
SET005,Rescue Operation,Mixed / Unknown,,,,,7,Total Stars,16,Get 16 Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/rescue-operation
SET005,Rescue Operation,Mixed / Unknown,,,,,8,Total Stars,24,Get 24 Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/rescue-operation
SET006,End of Days Record,Mixed / Unknown,,,,,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/end-of-days-record
SET006,End of Days Record,Mixed / Unknown,,,,,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/end-of-days-record
SET006,End of Days Record,Mixed / Unknown,,,,,3,Total Gold Stars,18,Get 18 total Gold Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/end-of-days-record
SET006,End of Days Record,Mixed / Unknown,,,,,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/end-of-days-record
SET006,End of Days Record,Mixed / Unknown,,,,,5,Total Red Stars,18,Get 18 total Red Stars,"Final ATK +250, Final HP +1000",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/end-of-days-record
SET006,End of Days Record,Mixed / Unknown,,,,,6,Total Stars,8,Get 8 Stars,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/end-of-days-record
SET006,End of Days Record,Mixed / Unknown,,,,,7,Total Stars,16,Get 16 Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/end-of-days-record
SET006,End of Days Record,Mixed / Unknown,,,,,8,Total Stars,24,Get 24 Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/end-of-days-record
SET007,Head to Shelter,Mixed / Unknown,,,,,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/head-to-shelter
SET007,Head to Shelter,Mixed / Unknown,,,,,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/head-to-shelter
SET007,Head to Shelter,Mixed / Unknown,,,,,3,Total Gold Stars,18,Get 18 total Gold Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/head-to-shelter
SET007,Head to Shelter,Mixed / Unknown,,,,,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/head-to-shelter
SET007,Head to Shelter,Mixed / Unknown,,,,,5,Total Red Stars,18,Get 18 total Red Stars,"Final ATK +250, Final HP +1000",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/head-to-shelter
SET007,Head to Shelter,Mixed / Unknown,,,,,6,Total Stars,8,Get 8 Stars,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/head-to-shelter
SET007,Head to Shelter,Mixed / Unknown,,,,,7,Total Stars,16,Get 16 Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/head-to-shelter
SET007,Head to Shelter,Mixed / Unknown,,,,,8,Total Stars,24,Get 24 Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/head-to-shelter
SET008,Finding Survivors,Mixed / Unknown,,,,,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/finding-survivors
SET008,Finding Survivors,Mixed / Unknown,,,,,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/finding-survivors
SET008,Finding Survivors,Mixed / Unknown,,,,,3,Total Gold Stars,18,Get 18 total Gold Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/finding-survivors
SET008,Finding Survivors,Mixed / Unknown,,,,,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/finding-survivors
SET008,Finding Survivors,Mixed / Unknown,,,,,5,Total Red Stars,18,Get 18 total Red Stars,"Final ATK +250, Final HP +1000",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/finding-survivors
SET008,Finding Survivors,Mixed / Unknown,,,,,6,Total Stars,8,Get 8 Stars,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/finding-survivors
SET008,Finding Survivors,Mixed / Unknown,,,,,7,Total Stars,16,Get 16 Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/finding-survivors
SET008,Finding Survivors,Mixed / Unknown,,,,,8,Total Stars,24,Get 24 Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/finding-survivors
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Lucky Charm,Mystical Halo,,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +200, Final HP +800",ATK% | HP% | Final ATK | Final HP,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,Current sIO Tools model; some one-red sets omit the fourth lower-rarity collectible,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Lucky Charm,Mystical Halo,,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +300, Final HP +1200",ATK% | HP% | Final ATK | Final HP,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,Current sIO Tools model; some one-red sets omit the fourth lower-rarity collectible,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Lucky Charm,Mystical Halo,,3,Total Gold Stars,19,Get 19 total Gold Stars,ATK +4%,ATK%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,Current sIO Tools model; some one-red sets omit the fourth lower-rarity collectible,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Lucky Charm,Mystical Halo,,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +500, Final HP +2000",ATK% | HP% | Final ATK | Final HP,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,Current sIO Tools model; some one-red sets omit the fourth lower-rarity collectible,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Lucky Charm,Mystical Halo,,5,Total Red Stars,19,Get 19 total Red Stars,ATK +6%,ATK%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,Current sIO Tools model; some one-red sets omit the fourth lower-rarity collectible,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Lucky Charm,Mystical Halo,,6,Total Stars,8,Get 8 Stars,"Final ATK +200, Final HP +800",ATK% | HP% | Final ATK | Final HP,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,Current sIO Tools model; some one-red sets omit the fourth lower-rarity collectible,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Lucky Charm,Mystical Halo,,7,Total Stars,16,Get 16 Stars,"Final ATK +300, Final HP +1200",ATK% | HP% | Final ATK | Final HP,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,Current sIO Tools model; some one-red sets omit the fourth lower-rarity collectible,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Lucky Charm,Mystical Halo,,8,Total Stars,24,Get 24 Stars,"Final ATK +500, Final HP +2000",ATK% | HP% | Final ATK | Final HP,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,Current sIO Tools model; some one-red sets omit the fourth lower-rarity collectible,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET010,What If We Created It?,Mixed / Unknown,,,,,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/what-if-we-created-it
SET010,What If We Created It?,Mixed / Unknown,,,,,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/what-if-we-created-it
SET010,What If We Created It?,Mixed / Unknown,,,,,3,Total Gold Stars,18,Get 18 total Gold Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/what-if-we-created-it
SET010,What If We Created It?,Mixed / Unknown,,,,,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/what-if-we-created-it
SET010,What If We Created It?,Mixed / Unknown,,,,,5,Total Red Stars,18,Get 18 total Red Stars,"Final ATK +250, Final HP +1000",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/what-if-we-created-it
SET010,What If We Created It?,Mixed / Unknown,,,,,6,Total Stars,8,Get 8 Stars,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/what-if-we-created-it
SET010,What If We Created It?,Mixed / Unknown,,,,,7,Total Stars,16,Get 16 Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,Member list not captured in the current local model,https://garrytools.com/guide/collectionsets/what-if-we-created-it
