Skill_ID,Skill_Name,Skill_Type,Source_System,Base_or_Evolution,Evolves_From,Evolution_Requirement,Behavior_Description,Primary_Damage_Form,Targeting_or_Area,Status_or_Control,Damage_Affecting_Properties,Calculation_Data_Included,Verification_Status,Primary_Source_URL,Secondary_Source_URL
SKL0032,Lucille,Weapon EVO,Equipment Weapon,Evolution,Baseball Bat,Fitness Guide,Evolved Baseball Bat with circular swing coverage.,Melee / circular swing,Around Survivor,Knockback,Circular coverage and swing rate,No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Baseball_Bat,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0038,Reaper,Weapon EVO,Equipment Weapon,Evolution,Revolver,Hi-Power Bullet,Evolved Revolver with two guns and a larger total magazine.,Bullet projectile,Facing direction / target,,"Bullet count, damage and reload",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Revolver,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0036,Spirit Shuriken,Weapon EVO,Equipment Weapon,Evolution,Kunai,Koga Ninja Scroll,Evolved Kunai that continuously throws shuriken.,Auto-targeting projectile,Enemies around Survivor,,Continuous firing and split behavior,No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Kunai,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0031,Baseball Bat,Weapon Skill,Equipment Weapon,Base,,Fitness Guide,Swings a bat in front of the Survivor and knocks enemies back.,Melee / swing,Frontal arc,Knockback,Swing area and attack interval,No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Baseball_Bat,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0033,Katana,Weapon Skill,Equipment Weapon,Base,,Ronin Oyoroi,Produces slashes and blade waves.,Melee slash plus blade-wave projectile,Frontal / directional,Bleed at Better quality,"Wave count, range and attack interval",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Katana,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0035,Kunai,Weapon Skill,Equipment Weapon,Base,,Koga Ninja Scroll,Automatically targets enemies with thrown kunai.,Auto-targeting projectile,Nearest/selected enemy,,"Projectile count, split and attack interval",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Kunai,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0037,Revolver,Weapon Skill,Equipment Weapon,Base,,Hi-Power Bullet,Fires a limited magazine of bullets and then reloads.,Bullet projectile,Facing direction / target,,"Bullet count, reload time and explosion effects",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Revolver,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0039,Shotgun,Weapon Skill,Equipment Weapon,Base,,Hi-Power Bullet,Fires a spread of pellets in the facing direction.,Spread projectile,Frontal cone,,"Pellet count, spread, range and penetration",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Shotgun,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0001,Boomerang,Active,In-battle Skill,Base,,,Throws boomerangs that travel outward and return.,Returning projectile,Directional travel path,,"Projectile count, size, damage, cooldown reset through Conduction Device",No,Community wiki source,https://survivorio.fandom.com/wiki/Boomerang,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0003,Brick,Active,In-battle Skill,Base,,,Throws bricks; Gravity Controller can make them penetrate all enemies.,Projectile,Launched from Survivor,,"Projectile count, penetration, impact path",No,Community wiki source,https://survivorio.fandom.com/wiki/Brick,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0009,Drill Shot,Active,In-battle Skill,Base,,,Launches drills that bounce around the screen and pierce enemies.,Piercing projectile,Screen-bouncing trajectory,,"Drill count, speed, penetration, duration",No,Community wiki source,https://survivorio.fandom.com/wiki/Drill_Shot,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0011,Durian,Active,In-battle Skill,Base,,,Launches a durable bouncing fruit that knocks enemies back.,Bouncing contact projectile,Moves around the arena,Knockback,"Size, duration, contact damage",No,Community wiki source,https://survivorio.fandom.com/wiki/Durian,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0007,Forcefield,Active,In-battle Skill,Base,,,Creates a damaging field around the Survivor.,Aura / field,Area around Survivor,,Area size and continuous contact damage,No,Community wiki source,https://survivorio.fandom.com/wiki/Forcefield,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0013,Guardian,Active,In-battle Skill,Base,,,"Summons rotating tops that circle the Survivor, block most projectiles, damage and knock back nearby enemies.",Orbiting contact damage,Circular area around Survivor,Knockback; projectile blocking,"Top count, rotation speed, duration",No,Community wiki source,https://survivorio.fandom.com/wiki/Guardian,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0015,Laser Launcher,Active,In-battle Skill,Base,,,Fires lasers in a criss-cross pattern around the Survivor.,Beam / laser,Criss-cross paths,Slow with Annihilator Excellent,"Range, beam damage, path coverage",No,Community wiki source,https://survivorio.fandom.com/wiki/Laser_Launcher,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0017,Lightning Emitter,Active,In-battle Skill,Base,,,Calls lightning bolts onto targets.,Lightning strike,Targeted enemies,,"Bolt count, strike rate, target selection",No,Community wiki source,https://survivorio.fandom.com/wiki/Lightning_Emitter,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0023,Modular Mine,Active,In-battle Skill,Base,,,Places mines that explode when enemies approach or after a delay.,Trap / explosion,Ground placement near Survivor,,"Mine count, trigger delay, explosion area",No,Community wiki source,https://survivorio.fandom.com/wiki/Modular_Mine,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0019,Molotov,Active,In-battle Skill,Base,,,Throws Molotovs that leave burning patches on the ground.,Ground field / damage over time,Ground patches around the Survivor,Burn; removes poison patches from the ground,"Throw count, burn area, patch duration",No,Community wiki source,https://survivorio.fandom.com/wiki/Molotov,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0021,RPG,Active,In-battle Skill,Base,,,Launches rockets that explode on enemy impact.,Rocket plus explosion,Targeted projectile,,"Rocket count, explosion area, cooldown",No,Community wiki source,https://survivorio.fandom.com/wiki/RPG,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0005,Soccer Ball,Active,In-battle Skill,Base,,,Launches bouncing soccer balls.,Bouncing projectile,Bounces across the arena,,"Ball count, flight speed, damage",No,Community wiki source,https://survivorio.fandom.com/wiki/Soccer_Ball,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0026,Type-A Drone,Active,In-battle Skill,Base,,,Drone that fires many small missiles.,Drone missile projectile,Targets enemies in range,,"Missile count, firing interval, homing through Precision Device",No,Community wiki source,https://survivorio.fandom.com/wiki/Drone_%28disambiguation%29,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0027,Type-B Drone,Active,In-battle Skill,Base,,,"Drone that fires fewer, stronger missiles with a reload period.",Drone missile projectile,Targets enemies in range,,"Missile count, firing interval, damage",No,Community wiki source,https://survivorio.fandom.com/wiki/Drone_%28disambiguation%29,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0004,1-ton Iron,Active EVO,In-battle Skill,Evolution,Brick,Fitness Guide,Evolved Brick form; Gravity Controller can make the irons spin while flying.,Projectile,Flying projectiles,,Projectile behavior and coverage,No,Community wiki source,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0012,Caltrops,Active EVO,In-battle Skill,Evolution,Durian,HE Fuel,Larger evolved Durian that fires penetrating spikes while spinning.,Contact projectile plus spike projectiles,Moves around arena,Bleed with Nanobot Legend effect,"Size, spike count, penetration, contact damage",No,Community wiki source,https://survivorio.fandom.com/wiki/Durian,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0016,Death Ray,Active EVO,In-battle Skill,Evolution,Laser Launcher,Energy Cube,Evolved Laser Launcher with converging laser behavior.,Beam / laser,Area paths around Survivor,Snare with Annihilator Legend,"Beam damage, range, targeting/control",No,Community wiki source,https://survivorio.fandom.com/wiki/Laser_Launcher,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0014,Defender,Active EVO,In-battle Skill,Evolution,Guardian,Exo-Bracer,Permanent evolved Guardian with rotating tops.,Orbiting contact damage,Circular area around Survivor,Knockback; projectile blocking,"Top count, rotation speed, persistent duration",No,Community wiki source,https://survivorio.fandom.com/wiki/Guardian,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0008,Force Barrier,Active EVO,In-battle Skill,Evolution,Forcefield,Energy Drink,Evolved Forcefield that damages and slows enemies touching it.,Aura / field,Area around Survivor,Slow,"Field size, contact damage, slow",No,Community wiki source,https://survivorio.fandom.com/wiki/Forcefield,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0020,Fuel Barrel,Active EVO,In-battle Skill,Evolution,Molotov,Oil Bond,Creates a moving ring of fire around the Survivor.,Ground field / damage over time,Ring around Survivor,Burn; Slow,"Ring duration, contact area, Deep Wounds through Energy Diffuser Legend",No,Community wiki source,https://survivorio.fandom.com/wiki/Molotov,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0002,Magnetic Rebounder,Active EVO,In-battle Skill,Evolution,Boomerang,Hi-Power Magnet,Fires two rebounders in circular motion around the Survivor.,Orbiting projectile,Circular path around Survivor,,Continuous path contact; Conduction Device can add lightning arcs,No,Community wiki source,https://survivorio.fandom.com/wiki/Boomerang,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0006,Quantum Ball,Active EVO,In-battle Skill,Evolution,Soccer Ball,Sports Shoes,"Creates faster, stronger quantum balls with additional spawned balls.",Bouncing projectile,Bounces across the arena,,"Ball count, duration, speed, damage",No,Community wiki source,https://survivorio.fandom.com/wiki/Soccer_Ball,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0022,Sharkmaw Gun,Active EVO,In-battle Skill,Evolution,RPG,HE Fuel,Fires larger rockets with larger explosions at a slower rate.,Rocket plus explosion,Targeted projectile,,"Explosion size, rocket count, firing interval",No,Community wiki source,https://survivorio.fandom.com/wiki/RPG,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0018,Supercell,Active EVO,In-battle Skill,Evolution,Lightning Emitter,Energy Cube,Evolved Lightning Emitter that adds shockwave behavior.,Lightning plus shockwave,Targeted strikes and spread effects,,"Bolt count, shockwave spread, strike frequency",No,Community wiki source,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0010,Whistling Arrow,Active EVO,In-battle Skill,Evolution,Drill Shot,Ammo Thruster,Evolved Drill Shot that repeatedly tracks through enemies.,Tracking projectile,Mobile target-seeking path,,"Arrow count, speed, repeated contact",No,Community wiki source,https://survivorio.fandom.com/wiki/Drill_Shot,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0028,Destroyer,Combination EVO,In-battle Skill,Evolution,Type-A Drone + Type-B Drone,Combine both drones,Combined Type-A and Type-B Drone that fires missiles.,Drone missile projectile,Targets enemies in range,,"Missile count, firing interval, homing and explosion range through Precision Device",No,Community wiki source,https://survivorio.fandom.com/wiki/Drone_%28disambiguation%29,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0024,Inferno Bomb,Combination EVO,In-battle Skill,Evolution,Modular Mine + Molotov,Both skills at 5 stars,Combination of Modular Mine and Molotov that creates an elemental explosion.,Fire explosion,Ground mine trigger,Burn,Explosion area and fire behavior,No,Community wiki source,https://survivorio.fandom.com/wiki/Modular_Mine,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0025,Thunderbolt Bomb,Combination EVO,In-battle Skill,Evolution,Modular Mine + Lightning Emitter,Both skills at 5 stars,Combination of Modular Mine and Lightning Emitter that creates a lightning explosion.,Lightning explosion,Ground mine trigger,,Explosion area and lightning behavior,No,Community wiki source,https://survivorio.fandom.com/wiki/Modular_Mine,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0055,Ammo Thruster,Passive Skill,In-battle Skill,Passive,,Drill Shot → Whistling Arrow,Increases projectile speed and evolves Drill Shot.,No direct attack,,,Projectile speed; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Ammo_Thruster,https://survivorio.fandom.com/wiki/Skills
SKL0049,Energy Cube,Passive Skill,In-battle Skill,Passive,,Laser Launcher → Death Ray; Lightning Emitter → Supercell,Reduces cooldown of attack skills and evolves Laser Launcher and Lightning Emitter.,No direct attack,,,Attack cooldown,No,Community wiki source,https://survivorio.fandom.com/wiki/Energy_Cube,https://survivorio.fandom.com/wiki/Skills
SKL0054,Energy Drink,Passive Skill,In-battle Skill,Passive,,Forcefield → Force Barrier,Restores HP over time and evolves Forcefield.,No direct attack,,,Healing; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Energy_Drink,https://survivorio.fandom.com/wiki/Skills
SKL0056,Exo-Bracer,Passive Skill,In-battle Skill,Passive,,Guardian → Defender; Void Power → Gloom Nova,Increases effect duration and evolves Guardian and Void Power.,No direct attack,,,Duration; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Exo-Bracer,https://survivorio.fandom.com/wiki/Skills
SKL0052,Fitness Guide,Passive Skill,In-battle Skill,Passive,,Baseball Bat → Lucille; Brick → 1-ton Iron,Increases maximum HP and evolves Baseball Bat and Brick.,No direct attack,,,HP; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Fitness_Guide,https://survivorio.fandom.com/wiki/Skills
SKL0050,HE Fuel,Passive Skill,In-battle Skill,Passive,,Durian → Caltrops; RPG → Sharkmaw Gun,Increases ammo and weapon range and evolves Durian and RPG.,No direct attack,,,Range / area,No,Community wiki source,https://survivorio.fandom.com/wiki/HE_Fuel,https://survivorio.fandom.com/wiki/Skills
SKL0058,Hi-Power Bullet,Passive Skill,In-battle Skill,Passive,,Shotgun → Gatling; Revolver → Reaper,Increases attack and evolves Shotgun and Revolver.,No direct attack,,,ATK; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Hi-Power_Bullet,https://survivorio.fandom.com/wiki/Skills
SKL0051,Hi-Power Magnet,Passive Skill,In-battle Skill,Passive,,Boomerang → Magnetic Rebounder,Increases item pickup range and evolves Boomerang.,No direct attack,,,Utility; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Hi-Power_Magnet,https://survivorio.fandom.com/wiki/Skills
SKL0059,Koga Ninja Scroll,Passive Skill,In-battle Skill,Passive,,Kunai → Spirit Shuriken,Increases battle EXP and evolves Kunai.,No direct attack,,,Battle EXP; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Koga_Ninja_Scroll,https://survivorio.fandom.com/wiki/Skills
SKL0057,Oil Bond,Passive Skill,In-battle Skill,Passive,,Molotov → Fuel Barrel,Increases Gold gained and evolves Molotov.,No direct attack,,,Utility; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Oil_Bond,https://survivorio.fandom.com/wiki/Skills
SKL0060,Ronin Oyoroi,Passive Skill,In-battle Skill,Passive,,Katana → Demon Blade; Lightchaser → Eternal Light; Moonshade Slash → Moonhalo Slash,"Reduces damage received and evolves Katana, Lightchaser and Moonshade Slash.",No direct attack,,,Damage reduction; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Ronin_Oyoroi,https://survivorio.fandom.com/wiki/Skills
SKL0053,Sports Shoes,Passive Skill,In-battle Skill,Passive,,Soccer Ball → Quantum Ball,Increases movement speed and evolves Soccer Ball.,No direct attack,,,Movement speed; evolution requirement,No,Community wiki source,https://survivorio.fandom.com/wiki/Sports_Shoes,https://survivorio.fandom.com/wiki/Skills
SKL0334,Doomsteed,Mount Combat Mechanic,Mount,Released,,,"Rotates automatically between two modes. During the contact/invincibility phase, stay close to the boss to build and deal collision-based damage.",Mount mechanic or mount modifier,Boss-contact mount. Circle or hug the boss when the active indicator permits it.,,Special mechanic / stated effect,No,Drive / current community source,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://www.treyexgaming.com/survivor-io-mount-guide/; https://phasecast.com/tools/mount-optimizer; https://sio-tools.exp0.dev/,
SKL0332,Electric Scooter,Mount Combat Mechanic,Mount,Released,,,Automatic damage mount. No special input is required while riding.,Mount mechanic or mount modifier,Simple passive damage; weakest of the original three mounts but easiest to unlock.,,Special mechanic / stated effect,No,Drive / current community source,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://www.treyexgaming.com/survivor-io-mount-guide/; https://phasecast.com/tools/mount-optimizer; https://sio-tools.exp0.dev/,
SKL0333,Tech Hoverboard,Mount Combat Mechanic,Mount,Released,,,Avoid damage to build Hoverboard shield stacks. More shield stacks increase damage. Taking a hit releases a shockwave blast.,Mount mechanic or mount modifier,Shield-stacking mount. Best results come from avoiding hits until the shockwave is needed.,,Added damage event,No,Drive / current community source,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://www.treyexgaming.com/survivor-io-mount-guide/; https://phasecast.com/tools/mount-optimizer; https://sio-tools.exp0.dev/,
SKL0303,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Cheshire,R1,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0305,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Cheshire,R3,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0306,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Cheshire,R4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0299,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Cheshire,Y2,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0301,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Cheshire,Y4,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0300,Large Yarn Balls,Pet Attack / Awakening Skill,Normal Pet: Cheshire,Y3,,,Throws 6 larger yarn balls with periodic path damage.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0302,Large Yarn Balls II,Pet Attack / Awakening Skill,Normal Pet: Cheshire,Y5,,,Throws 6 large yarn balls with periodic path damage.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0304,Rapid Yarn Barrage,Pet Attack / Awakening Skill,Normal Pet: Cheshire,R2,,,Throws 9 large yarn balls with higher-frequency damage and Slow.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,Slow,Status application / control,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0297,Scratch,Pet Attack / Awakening Skill,Normal Pet: Cheshire,Base Attack,,,Scratches for 200% Pet ATK damage with a fast 0.5-second cooldown.,Pet attack or pet/owner modifier,Automatic attack while deployed,,ATK stat,No,Public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791,
SKL0298,Spinning Yarn Balls,Pet Attack / Awakening Skill,Normal Pet: Cheshire,Y1,,,Throws 3 yarn balls that repeatedly damage enemies along their paths.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0307,Yarn Barrage Maximum,Pet Attack / Awakening Skill,Normal Pet: Cheshire,R5,,,Throws 12 large yarn balls with higher-frequency damage and Slow.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,Slow,Status application / control,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0314,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Crabobble,R1,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
SKL0316,Deploy Skill Slot Quality,Pet Attack / Awakening Skill,Normal Pet: Crabobble,R3,,,Raises the quality of a deploy-skill slot.,Pet attack or pet/owner modifier,Awakening stage reached; active-skill effects require this pet to be deployed.,,Special mechanic / stated effect,No,Public guide / Drive transcription,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4,
