Cost_ID,Cost_Category,System_Type,Stage_Order,Stage,Requirement,Incremental_Cost,Cumulative_Cost,Cost_Unit,Resonance_Energy_Granted,Resonance_Multiplier,Minimum_Resonance,Additional_Legend_Tech_Required,Offensive_Base_Stat_Total,Defensive_Base_Stat_Total,Optimizer_Use,Data_Status,Source_URLs
TCOST025,Assist Resonance Energy,Normal and Twinborn,9,Legend+4,Equip a Legend+4 assist tech part.,,,Resonance Energy,850,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST026,Assist Resonance Energy,Normal and Twinborn,10,Eternal,Equip a Eternal assist tech part.,,,Resonance Energy,1000,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST027,Resonance Multiplier,Normal Tech,1,1.0x,Invest 0 cumulative Resonance/Harmony Chips in this normal-tech slot.,0,0,Resonance/Harmony Chips,,1.0,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST028,Resonance Multiplier,Normal Tech,2,1.2x,Invest 1 cumulative Resonance/Harmony Chips in this normal-tech slot.,1,1,Resonance/Harmony Chips,,1.2,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST029,Resonance Multiplier,Normal Tech,3,1.4x,Invest 2 cumulative Resonance/Harmony Chips in this normal-tech slot.,1,2,Resonance/Harmony Chips,,1.4,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST030,Resonance Multiplier,Normal Tech,4,1.6x,Invest 4 cumulative Resonance/Harmony Chips in this normal-tech slot.,2,4,Resonance/Harmony Chips,,1.6,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST031,Resonance Multiplier,Normal Tech,5,1.8x,Invest 7 cumulative Resonance/Harmony Chips in this normal-tech slot.,3,7,Resonance/Harmony Chips,,1.8,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST032,Resonance Multiplier,Normal Tech,6,2.0x,Invest 12 cumulative Resonance/Harmony Chips in this normal-tech slot.,5,12,Resonance/Harmony Chips,,2.0,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST033,Resonance Multiplier,Normal Tech,7,2.2x,Invest 17 cumulative Resonance/Harmony Chips in this normal-tech slot.,5,17,Resonance/Harmony Chips,,2.2,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST034,Resonance Multiplier,Normal Tech,8,2.4x,Invest 24 cumulative Resonance/Harmony Chips in this normal-tech slot.,7,24,Resonance/Harmony Chips,,2.4,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST035,Resonance Multiplier,Normal Tech,9,2.6x,Invest 33 cumulative Resonance/Harmony Chips in this normal-tech slot.,9,33,Resonance/Harmony Chips,,2.6,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST036,Resonance Multiplier,Normal Tech,10,2.8x,Invest 45 cumulative Resonance/Harmony Chips in this normal-tech slot.,12,45,Resonance/Harmony Chips,,2.8,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST037,Resonance Multiplier,Normal Tech,11,3.0x,Invest 60 cumulative Resonance/Harmony Chips in this normal-tech slot.,15,60,Resonance/Harmony Chips,,3.0,,,,,Compare the next multiplier step's DPS gain per chip against Twinborn and Overload alternatives.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST038,Resonance Multiplier,Twinborn,1,1.0x,Invest 0 cumulative chips in this Twinborn slot.,0,0,Resonance/Harmony Chips,,1.0,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST039,Resonance Multiplier,Twinborn,2,1.2x,Invest 1 cumulative chips in this Twinborn slot.,1,1,Resonance/Harmony Chips,,1.2,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST040,Resonance Multiplier,Twinborn,3,1.4x,Invest 2 cumulative chips in this Twinborn slot.,1,2,Resonance/Harmony Chips,,1.4,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST041,Resonance Multiplier,Twinborn,4,1.6x,Invest 4 cumulative chips in this Twinborn slot.,2,4,Resonance/Harmony Chips,,1.6,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST042,Resonance Multiplier,Twinborn,5,1.8x,Invest 6 cumulative chips in this Twinborn slot.,2,6,Resonance/Harmony Chips,,1.8,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST043,Resonance Multiplier,Twinborn,6,2.0x,Invest 9 cumulative chips in this Twinborn slot.,3,9,Resonance/Harmony Chips,,2.0,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST044,Resonance Multiplier,Twinborn,7,2.2x,Invest 12 cumulative chips in this Twinborn slot.,3,12,Resonance/Harmony Chips,,2.2,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST045,Resonance Multiplier,Twinborn,8,2.4x,Invest 16 cumulative chips in this Twinborn slot.,4,16,Resonance/Harmony Chips,,2.4,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST046,Resonance Multiplier,Twinborn,9,2.6x,Invest 20 cumulative chips in this Twinborn slot.,4,20,Resonance/Harmony Chips,,2.6,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST047,Resonance Multiplier,Twinborn,10,2.8x,Invest 25 cumulative chips in this Twinborn slot.,5,25,Resonance/Harmony Chips,,2.8,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST048,Resonance Multiplier,Twinborn,11,3.0x,Invest 30 cumulative chips in this Twinborn slot.,5,30,Resonance/Harmony Chips,,3.0,,0,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST049,Resonance Multiplier,Twinborn,12,3.2x,Invest 36 cumulative chips in this Twinborn slot. Also provide 1 additional Legend tech part(s).,6,36,Resonance/Harmony Chips,,3.2,,1,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST050,Resonance Multiplier,Twinborn,13,3.4x,Invest 42 cumulative chips in this Twinborn slot. Also provide 2 additional Legend tech part(s).,6,42,Resonance/Harmony Chips,,3.4,,2,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST051,Resonance Multiplier,Twinborn,14,3.6x,Invest 48 cumulative chips in this Twinborn slot. Also provide 3 additional Legend tech part(s).,6,48,Resonance/Harmony Chips,,3.6,,3,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST052,Resonance Multiplier,Twinborn,15,3.8x,Invest 54 cumulative chips in this Twinborn slot. Also provide 4 additional Legend tech part(s).,6,54,Resonance/Harmony Chips,,3.8,,4,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST053,Resonance Multiplier,Twinborn,16,4.0x,Invest 60 cumulative chips in this Twinborn slot. Also provide 5 additional Legend tech part(s).,6,60,Resonance/Harmony Chips,,4.0,,5,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST054,Resonance Multiplier,Twinborn,17,4.2x,Invest 66 cumulative chips in this Twinborn slot. Also provide 6 additional Legend tech part(s).,6,66,Resonance/Harmony Chips,,4.2,,6,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST055,Resonance Multiplier,Twinborn,18,4.4x,Invest 72 cumulative chips in this Twinborn slot. Also provide 7 additional Legend tech part(s).,6,72,Resonance/Harmony Chips,,4.4,,7,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST056,Resonance Multiplier,Twinborn,19,4.6x,Invest 78 cumulative chips in this Twinborn slot. Also provide 8 additional Legend tech part(s).,6,78,Resonance/Harmony Chips,,4.6,,8,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST057,Resonance Multiplier,Twinborn,20,4.8x,Invest 84 cumulative chips in this Twinborn slot. Also provide 9 additional Legend tech part(s).,6,84,Resonance/Harmony Chips,,4.8,,9,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST058,Resonance Multiplier,Twinborn,21,5.0x,Invest 90 cumulative chips in this Twinborn slot. Also provide 10 additional Legend tech part(s).,6,90,Resonance/Harmony Chips,,5.0,,10,,,Multiplier and Overload share scarce chips; choose the next step with the highest simulated DPS gain.,Exact supplied model and Discord guide,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TCOST059,Tech Overload,Twinborn,1,Overload 1,Reach at least 3000 Twinborn Resonance.,1,1,Resonance/Harmony Chips,,,3000,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST060,Tech Overload,Twinborn,2,Overload 2,Reach at least 3500 Twinborn Resonance.,1,2,Resonance/Harmony Chips,,,3500,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST061,Tech Overload,Twinborn,3,Overload 3,Reach at least 4000 Twinborn Resonance.,1,3,Resonance/Harmony Chips,,,4000,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST062,Tech Overload,Twinborn,4,Overload 4,Reach at least 4500 Twinborn Resonance.,2,5,Resonance/Harmony Chips,,,4500,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST063,Tech Overload,Twinborn,5,Overload 5,Reach at least 5000 Twinborn Resonance.,2,7,Resonance/Harmony Chips,,,5000,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST064,Tech Overload,Twinborn,6,Overload 6,Reach at least 5500 Twinborn Resonance.,2,9,Resonance/Harmony Chips,,,5500,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST065,Tech Overload,Twinborn,7,Overload 7,Reach at least 6000 Twinborn Resonance.,3,12,Resonance/Harmony Chips,,,6000,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST066,Tech Overload,Twinborn,8,Overload 8,Reach at least 7000 Twinborn Resonance.,3,15,Resonance/Harmony Chips,,,7000,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST067,Tech Overload,Twinborn,9,Overload 9,Reach at least 8000 Twinborn Resonance.,3,18,Resonance/Harmony Chips,,,8000,0,,,Only buy if the mode has an Overload effect at this level and its marginal DPS per chip beats multiplier/resonance alternatives.,Exact supplied sIO Tools cost model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
