Skill_ID,Skill_Name,Skill_Family,Used_As,Affected_Target,Affected_Stat,Excellent_Value,Epic_Value,Legend_Value,Value_Unit,Effect,Condition_or_Trigger,DPS_Relevant,DPS_Priority,Availability,Optimizer_Bucket,Data_Status,Source_URLs
PSK011,High Windchaser,Pet coverage,Deploy,Pet,Movement Speed,75,75,75,%,Increases pet movement speed.,Pet deployed and skill equipped.,Conditional,Hit consistency,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK012,Painstrike,Pet damage,Deploy,Pet,Crit Damage,,,60,%,Increases pet Crit Damage.,Pet deployed and skill equipped.,Yes,High,Standard skill pool,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK013,Sharp Claws,Pet damage,Deploy,Pet,Skill Damage,15,20,60,%,Increases pet Skill Damage.,Pet deployed and skill equipped.,Yes,Very High,Standard skill pool,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK014,Tough Skin,Pet defense,Deploy,Pet,Damage Taken Reduction,40,40,60,%,Reduces pet damage taken.,Pet deployed and skill equipped.,No,Survival,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK015,United Effort,Pet stat,Deploy,Pet,Inherited HP,10,15,35,%,Increases inherited HP. Gary/Karen's fixed Legend version is listed as +20%.,Pet deployed and skill equipped.,No,Survival,Standard/collaboration variants,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK016,United Stand,Pet damage,Deploy,Pet,Inherited ATK,15,,35,%,Increases pet inherited ATK.,Pet deployed and skill equipped.,Yes,High,Standard skill pool,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK017,Unyielding Will,Pet utility,Deploy,Pet,Revival Time Reduction,20,30,40,%,Reduces time required for pet revival.,Pet fainted.,No,Survival,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK018,Utmost Loyalty,Owner defense,Deploy,Owner + Pet,Damage Transfer,,,30,%,Pet takes part of the owner's incoming damage.,Pet alive and deployed.,No,Survival,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK019,Vampirism,Pet sustain,Deploy,Pet,Lifesteal,1,2,,%,Pet heals from attack damage.,Pet deals damage.,No,Survival,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK020,Nine Lives,Survival,Deploy,Owner + Pet,Fatal Damage Protection,,,100,seconds cooldown,Nullifies fatal damage and heals allies for 50% HP.,Fatal damage; 100-second cooldown.,No,Survival,Cheshire fixed Legend skill,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK021,Satellite Cannon,Pet damage,Deploy,Pet,Special Attack Damage,,,1000,% Pet ATK,Area blast every 5 seconds; +250% damage after owner levels up.,Automatic special attack.,Yes,High,DD-6 fixed Legend skill,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK022,Time Stop,Survival,Deploy,Owner + Pet,Time Stop,,,5,seconds,"Below 30% owner HP, freezes enemies and grants invincibility.",Owner HP below 30%; 60-second cooldown.,No,Utility,Neemo fixed Legend skill,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK023,Boost,Assist,Assist,Deployed Pet,Range,5,6,7.5 / 10,% per 5 owner levels,Increases deployed pet range every 5 owner levels.,Pet assigned as assist.,Conditional,Medium-High,Standard assist pool,AssistSkill,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK024,Durable,Assist,Assist,Deployed Pet,Projectile Duration,8,10,12 / 15,% per 5 owner levels,Increases deployed pet shot duration.,Pet assigned as assist.,Conditional,Medium-High,Standard assist pool,AssistSkill,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK025,Penetration,Assist,Assist,Deployed Pet,Penetration,Every 10 levels,Every 8 levels,Every 6 / 5 levels,+1 target,Adds one penetrated target at the listed owner-level interval.,Pet assigned as assist.,Yes,High for projectiles,Standard assist pool,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK026,Powerful,Assist,Assist,Deployed Pet,Skill Damage,5,6,7.5 / 10,% per 5 owner levels,Increases deployed pet Skill Damage every 5 owner levels.,Pet assigned as assist.,Yes,High,Standard assist pool,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK027,Strong,Assist,Assist,Deployed Pet,Maximum HP,10,12,15 / 20,% per 5 owner levels,Increases deployed pet Max HP.,Pet assigned as assist.,No,Survival,Standard assist pool,AssistSkill,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK028,Raid,Assist,Assist,Deployed Pet,Skill Damage + Cooldown,6,7.5,10,% per 5 owner levels,Increases pet Skill Damage and reduces cooldown by 10%/15%/20%.,Pet assigned as assist.,Yes,Very High,Gary-exclusive,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
