Unlock_ID,Entity_Type,Entity_ID,System_or_Part,Mode,Base_Tech_1,Base_Tech_2,Tech_Category,Track_Type,Stage_Order,Stage,Requirement,Resonance_Threshold,Overload_Level,Effect_Stat,Effect_Value,Effect_Unit,Effect_Text,Applies_When_Deployed,Requires_Evolution,DPS_Relevant,DPS_Priority,Optimizer_Bucket,General_Investment_Rank,Data_Status,Source_URLs
TUN0012,Base Tech Part,TECH03,Phase Converter,Lightning Emitter,Phase Converter,,Offensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Bolt count at every skill level +2.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,6,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0013,Base Tech Part,TECH03,Phase Converter,Lightning Emitter,Phase Converter,,Offensive,Base Rarity,3,Epic,Reach Epic quality,,,ATK,200,Flat,ATK +200.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,6,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0014,Base Tech Part,TECH03,Phase Converter,Lightning Emitter,Phase Converter,,Offensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Supercell EX: generated shockwave spread distance doubled.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,6,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0015,Base Tech Part,TECH03,Phase Converter,Lightning Emitter,Phase Converter,,Offensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,Falling thunder adds another Thunderburst strike; Supercell gains Thunderburst damage; shockwaves spread faster and return.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,6,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0016,Base Tech Part,TECH04,Quantum Polarizer,Soccer Ball,Quantum Polarizer,,Offensive,Base Rarity,1,Better,Reach Better quality,,,ATK,30,Flat,ATK +30.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,2,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0017,Base Tech Part,TECH04,Quantum Polarizer,Soccer Ball,Quantum Polarizer,,Offensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Soccer Ball damage +30%.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,2,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0018,Base Tech Part,TECH04,Quantum Polarizer,Soccer Ball,Quantum Polarizer,,Offensive,Base Rarity,3,Epic,Reach Epic quality,,,ATK,200,Flat,ATK +200.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,2,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0019,Base Tech Part,TECH04,Quantum Polarizer,Soccer Ball,Quantum Polarizer,,Offensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Quantum Ball EX: duration +1 second.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,2,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0020,Base Tech Part,TECH04,Quantum Polarizer,Soccer Ball,Quantum Polarizer,,Offensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,"Soccer Ball count +1, Quantum Ball count +1, and Quantum Entanglement occurs after balls split.",The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,2,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0021,Base Tech Part,TECH05,Annihilator,Laser Launcher,Annihilator,,Offensive,Base Rarity,1,Better,Reach Better quality,,,ATK,30,Flat,ATK +30.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,5,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0022,Base Tech Part,TECH05,Annihilator,Laser Launcher,Annihilator,,Offensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Lasers slow enemies on hit.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,5,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0023,Base Tech Part,TECH05,Annihilator,Laser Launcher,Annihilator,,Offensive,Base Rarity,3,Epic,Reach Epic quality,,,ATK,200,Flat,ATK +200.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,5,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0024,Base Tech Part,TECH05,Annihilator,Laser Launcher,Annihilator,,Offensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Death Ray EX: snares enemies and prioritizes bosses and elites.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,5,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0025,Base Tech Part,TECH05,Annihilator,Laser Launcher,Annihilator,,Offensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,Laser Launcher creates delayed explosions along its path; Death Ray creates a small explosion when rays gather.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,5,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0026,Base Tech Part,TECH06,Energy Diffuser,Molotov,Energy Diffuser,,Offensive,Base Rarity,1,Better,Reach Better quality,,,ATK,30,Flat,ATK +30.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,3,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0027,Base Tech Part,TECH06,Energy Diffuser,Molotov,Energy Diffuser,,Offensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Fire spreads.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,3,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0028,Base Tech Part,TECH06,Energy Diffuser,Molotov,Energy Diffuser,,Offensive,Base Rarity,3,Epic,Reach Epic quality,,,ATK,200,Flat,ATK +200.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,3,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0029,Base Tech Part,TECH06,Energy Diffuser,Molotov,Energy Diffuser,,Offensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Fuel Barrel EX: burned enemies receive Deep Wounds and take +10% damage.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,3,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0030,Base Tech Part,TECH06,Energy Diffuser,Molotov,Energy Diffuser,,Offensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,Molotov damage rate increases and the Fuel Barrel fire trail follows the Survivor.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,3,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0031,Base Tech Part,TECH07,Hi-Maintainer,RPG,Hi-Maintainer,,Defensive,Base Rarity,1,Better,Reach Better quality,,,HP,120,Flat,HP +120.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,4,Legend exact; Eternal best-effort from current guide/model,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0032,Base Tech Part,TECH07,Hi-Maintainer,RPG,Hi-Maintainer,,Defensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,RPG firing cooldown -0.5 seconds.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,4,Legend exact; Eternal best-effort from current guide/model,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0033,Base Tech Part,TECH07,Hi-Maintainer,RPG,Hi-Maintainer,,Defensive,Base Rarity,3,Epic,Reach Epic quality,,,HP,800,Flat,HP +800.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,4,Legend exact; Eternal best-effort from current guide/model,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0034,Base Tech Part,TECH07,Hi-Maintainer,RPG,Hi-Maintainer,,Defensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Sharkmaw Gun EX: double shot; fires 2 rockets each attack.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,4,Legend exact; Eternal best-effort from current guide/model,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0035,Base Tech Part,TECH07,Hi-Maintainer,RPG,Hi-Maintainer,,Defensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,RPG explosions trigger additional chain-reaction explosions.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,4,Legend exact; Eternal best-effort from current guide/model,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0036,Base Tech Part,TECH08,Exo-skeleton,Guardian,Exo-skeleton,,Defensive,Base Rarity,1,Better,Reach Better quality,,,HP,120,Flat,HP +120.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,8,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0037,Base Tech Part,TECH08,Exo-skeleton,Guardian,Exo-skeleton,,Defensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Guardian knockback distance doubled.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Conditional,Context dependent,SkillMechanic,8,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0038,Base Tech Part,TECH08,Exo-skeleton,Guardian,Exo-skeleton,,Defensive,Base Rarity,3,Epic,Reach Epic quality,,,HP,800,Flat,HP +800.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,8,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0039,Base Tech Part,TECH08,Exo-skeleton,Guardian,Exo-skeleton,,Defensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Defender EX: blades spread outward and return.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Conditional,Context dependent,SkillMechanic,8,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0040,Base Tech Part,TECH08,Exo-skeleton,Guardian,Exo-skeleton,,Defensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,Adds additional Defender behavior and improves enemy-control effects.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Conditional,Context dependent,SkillMechanic,8,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0041,Base Tech Part,TECH09,Gravity Controller,Brick,Gravity Controller,,Defensive,Base Rarity,1,Better,Reach Better quality,,,HP,120,Flat,HP +120.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,7,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0042,Base Tech Part,TECH09,Gravity Controller,Brick,Gravity Controller,,Defensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Brick penetrates all enemies.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,7,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0043,Base Tech Part,TECH09,Gravity Controller,Brick,Gravity Controller,,Defensive,Base Rarity,3,Epic,Reach Epic quality,,,HP,800,Flat,HP +800.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,7,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0044,Base Tech Part,TECH09,Gravity Controller,Brick,Gravity Controller,,Defensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,1-ton Iron EX: spins while flying.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,7,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0045,Base Tech Part,TECH09,Gravity Controller,Brick,Gravity Controller,,Defensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,Adds additional brick/1-ton Iron attacks and impact behavior.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,7,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0046,Base Tech Part,TECH10,Conduction Device,Boomerang,Conduction Device,,Defensive,Base Rarity,1,Better,Reach Better quality,,,HP,120,Flat,HP +120.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,9,Excellent/Legend exact; Eternal unavailable,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0047,Base Tech Part,TECH10,Conduction Device,Boomerang,Conduction Device,,Defensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Collecting a returning Boomerang resets its cooldown.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Conditional,Context dependent,SkillMechanic,9,Excellent/Legend exact; Eternal unavailable,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0048,Base Tech Part,TECH10,Conduction Device,Boomerang,Conduction Device,,Defensive,Base Rarity,3,Epic,Reach Epic quality,,,HP,800,Flat,HP +800.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,9,Excellent/Legend exact; Eternal unavailable,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0049,Base Tech Part,TECH10,Conduction Device,Boomerang,Conduction Device,,Defensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Magnetic Rebounder EX: generates chain lightning at nearby enemies.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Conditional,Context dependent,SkillMechanic,9,Excellent/Legend exact; Eternal unavailable,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0050,Base Tech Part,TECH10,Conduction Device,Boomerang,Conduction Device,,Defensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,Complete Eternal display text was not captured in the current source bundle.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Conditional,Context dependent,SkillMechanic,9,Excellent/Legend exact; Eternal unavailable,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0051,Base Tech Part,TECH11,Energy Collector,Forcefield,Energy Collector,,Defensive,Base Rarity,1,Better,Reach Better quality,,,HP,120,Flat,HP +120.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,10,Excellent/Legend current wiki/Drive; Eternal summarized,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0052,Base Tech Part,TECH11,Energy Collector,Forcefield,Energy Collector,,Defensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Energy Compression: range -25% and damage +75%.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Conditional,Context dependent,SkillMechanic,10,Excellent/Legend current wiki/Drive; Eternal summarized,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0053,Base Tech Part,TECH11,Energy Collector,Forcefield,Energy Collector,,Defensive,Base Rarity,3,Epic,Reach Epic quality,,,HP,800,Flat,HP +800.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,No,Not scored for DPS,HPOnly,10,Excellent/Legend current wiki/Drive; Eternal summarized,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
