Unlock_ID,Category,Unlock_Name,Requirement_or_Cost,What_It_Gives,Applies_To,Release_Status,Data_Status,Source_URLs
MUN011,Components,Component Rotation,Place a component on a mount board,Components may be rotated to fit the puzzle board; optimization reduces empty cells.,Active and inactive boards,Released,Community optimizer/Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://phasecast.com/tools/mount-optimizer
MUN012,Components,Fill Before Merging,Own multiple mounts and spare components,"Install components in every unlocked mount before merging extras, because inactive boards still contribute through Sync Rate.",Account progression,Released,Drive strategy,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN013,Component Merge,Green to Blue,2 Good components,Creates 1 Better component; its stat is rerolled.,Components,Released,Exact Drive merge rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN014,Component Merge,Blue to Purple,2 Better components,Creates 1 Excellent component; its stat is rerolled.,Components,Released,Exact Drive merge rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN015,Component Merge,Purple to Purple +1,2 Excellent components,Creates 1 Excellent +1 component; its stat is rerolled.,Components,Released,Exact Drive merge rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN016,Component Merge,Purple +1 to Yellow,2 Excellent +1 components,Creates 1 Epic component; its stat is rerolled.,Components,Released,Exact Drive merge rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN017,Component Merge,Yellow to Yellow +1,3 Epic components,Creates 1 Epic +1 component; its stat is rerolled.,Components,Released,Exact Drive merge rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN018,Component Merge,Yellow +1 to Red,3 Epic +1 components,Creates 1 Legend component; its stat is rerolled.,Components,Released,Exact Drive merge rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN019,Refinement,Refine Component,Consume Mount Refine Essence; repeated refinements cost more,Randomly changes the component's stat while preserving its component and rarity.,Components,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN020,Refinement,Recommended Refine Floor,Epic or higher component,Drive guide recommends saving refinement for Yellow/Epic or better so the rerolled stat is not lost during another merge.,Components,Released,Drive strategy,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN021,Line Effects,Complete Horizontal Row,Fill every cell in one horizontal row,Counts as one completed line and activates the mount's cumulative Line Effect at that threshold.,Active mount only,Released,Drive and optimizer rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://phasecast.com/tools/mount-optimizer
MUN022,Line Effects,Lines 1-4 Available,Mount unlocked at 0★,Allows up to four completed line effects.,Each released mount,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN023,Line Effects,Line 5 Available,Yellow 2 Stars,Maximum usable completed lines increases to five.,Each released mount,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN024,Line Effects,Line 6 Available,Yellow 4 Stars,Maximum usable completed lines increases to six.,Each released mount,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN025,Line Effects,Line 7 Available,Red 2 Stars,Maximum usable completed lines increases to seven.,Each released mount,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN026,Line Effects,Line 8 Available,Red 4 Stars,Maximum usable completed lines increases to eight.,Each released mount,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN027,Sync Rate,Active Mount Component Rate,Equip a mount as active,Receives 100% of all component stats installed on that mount.,Active mount,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN028,Sync Rate,Inactive Mount Contribution,Install components on an inactive mount,Receives that mount's current Sync Rate percentage of installed component stats.,Inactive mounts,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN029,Sync Rate,Upgrade Inactive Mounts,Spend shards/cores on unused mounts,Raises their Sync Rate and therefore their account contribution.,Account progression,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN030,Sync Rate,Uninstalled Components,Leave component outside every board,Provides no stats.,Components,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN031,Optimization,General Component Priority,Compare equal-rarity components,Skill Damage > Shield Damage > Boss Damage > Lacerated Damage > Crit Damage > Chilled > Weakened > Poisoned.,General guidance,Released,Drive generalized priority; account dependent,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN032,Optimization,Primary Mount Placement,Choose installed components,Place the highest-value components on the active mount because it receives 100% of their stats.,Active mount,Released,Exact Drive strategy,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN033,Optimization,Inactive Mount Placement,Fill active board first,Place remaining valuable components on inactive boards rather than leaving them uninstalled or merging too early.,Inactive mounts,Released,Exact Drive strategy,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN034,Upcoming,Netherflame Stalker Added to Client,Install version 5.0.1,"The mount is present in the update, but progression effects are not yet public.",Future mount,Included in client,Official App Store release note,https://apps.apple.com/us/app/survivor-io/id1528941310
MUN035,Upcoming,Netherflame Stalker Availability,"August 5, 2026 at 16:00 UTC",Scheduled to become available through the anniversary auction period.,Future mount,"Upcoming on July 29, 2026",GarryTools schedule; subject to change,https://garrytools.com/timeline
MUN036,Upcoming,Legend Mount Shard Choice Chest,Eligible future events,Choice chest for Legend mount shards announced alongside Netherflame Stalker.,Legend mounts,Upcoming,GarryTools schedule,https://garrytools.com/timeline
