Unlock_ID,Pet_ID,Pet,Base_Animal,Availability,Awakening_Type_Group,Preferred_Toy_Group,Track_Type,Stage_Order,Stage,Required_Base_Quality,Requirement,Awakening_Crystal_Cost,Cumulative_Awakening_Crystals,Same_Type_Pet_Count_Shown,Affection_Level_Cap,Maximum_Player_ATK_From_Affection,Unlock_Name,Effect,Effect_Data_JSON,Effect_Target,Effect_Category,Trigger,DPS_Relevant,DPS_Priority,Optimizer_Bucket,Data_Status,Source_URLs
PUN0011,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,4,Y4,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,20,40,5,50,3600,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0012,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,5,Y5,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,30,70,7,60,4800,Large Corrosion Zone,Creates a larger ring: +12% damage taken for 6 seconds and 3-second slime trails.,"{""vulnerability_percent"":12,""ring_duration_seconds"":6,""slime_duration_seconds"":3,""area_size"":""Large""}",Pet / Owner / Skill slot,Vulnerability / Damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0013,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,6,R1,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,40,110,7,70,6000,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0014,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,7,R2,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,170,9,80,7500,Large Corrosion Zone+,Large ring: +12% damage taken for 8 seconds and slime lasts 5 seconds.,"{""vulnerability_percent"":12,""ring_duration_seconds"":8,""slime_duration_seconds"":5}",Pet / Owner / Skill slot,Vulnerability / Damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0015,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,8,R3,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,230,9,90,9000,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0016,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,9,R4,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,290,9,105,11300,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0017,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,10,R5,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,350,15,130,15000,Corrosion Zone Maximum,Large ring: enemies take +20% damage for 8 seconds and slime lasts 5 seconds.,"{""vulnerability_percent"":20,""ring_duration_seconds"":8,""slime_duration_seconds"":5}",Pet / Owner / Skill slot,Vulnerability / Damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0018,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Base Attack,0,Base Attack,Normal,Deploy this pet in battle.,,,,,,Explosive Bubbles,Fires a bubble dealing 200% Pet ATK on hit and another 200% on explosion.,"{""hit_damage_percent"":200,""explosion_damage_percent"":200,""cooldown_seconds"":1}",Pet attack,Projectile / explosion,Automatic attack while deployed,Yes,Medium,DirectPetDamage,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0019,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Assist Skill,1,Better Assist Skill,Better,Reach Better quality; the pet receives one random assist skill.,,,,,,Random Assist Skill,Unlocks one random assist skill used when this pet is assigned as an assist.,"{""random_assist_skill_slots"":1}",Deployed pet,Assist,Pet assigned to one of the two assist slots,Conditional,Skill dependent,AssistSkill,Exact pet-system rule,https://onechilledgamer.com/survivor-io-pet-guide/
PUN0020,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Quality Skill,2,Excellent Skill 1,Excellent,Reach Excellent quality.,,,,,,Diligence,Owner battle EXP gain +5%.,"{""owner_battle_exp_percent"":5}",Owner,Diligence,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Indirect,Mode dependent,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0021,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Quality Skill,3,Excellent Skill 2,Excellent,Reach Excellent quality.,,,,,,Guard,Owner collision damage reduction +10%.,"{""owner_collision_damage_reduction_percent"":10}",Owner,Guard,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0022,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Quality Skill,4,Epic Skill 1,Epic,Reach Epic quality.,,,,,,Barrier,Owner ranged/shot damage reduction +15%.,"{""owner_ranged_damage_reduction_percent"":15}",Owner,Barrier,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0023,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Quality Skill,5,Epic Skill 2,Epic,Reach Epic quality.,,,,,,Gargantua,Pet size and attack range +20%.,"{""pet_size_percent"":20,""pet_range_percent"":20}",Pet,Gargantua,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Conditional,Hit consistency,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0024,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Quality Skill,6,Legend Skill,Legend,Reach Legend quality.,,,,,,Time Stop,"Below 30% owner HP, freezes enemies for 5 seconds and grants invincibility; 60-second cooldown.","{""trigger_owner_hp_below_percent"":30,""duration_seconds"":5,""cooldown_seconds"":60}",Owner + Pet,Time Stop,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Utility,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0025,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,1,Y1,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,5,3,20,900,Guard Bubble,"Creates a 3-second bubble, pushes small monsters away and heals 3% HP each second; 30-second cooldown.","{""duration_seconds"":3,""healing_percent_per_second"":3,""cooldown_seconds"":30}",Pet / Owner / Skill slot,Healing / Control,Awakening stage reached; active-skill effects require this pet to be deployed.,No,Low for DPS,SurvivalOrUtility,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0026,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,2,Y2,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,10,3,30,1800,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0027,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,3,Y3,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,10,20,5,40,2700,Guard Bubble+,Bubble heals 5% HP each second for 3 seconds; 30-second cooldown.,"{""duration_seconds"":3,""healing_percent_per_second"":5,""cooldown_seconds"":30}",Pet / Owner / Skill slot,Healing / Control,Awakening stage reached; active-skill effects require this pet to be deployed.,No,Low for DPS,SurvivalOrUtility,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0028,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,4,Y4,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,20,40,5,50,3600,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0029,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,5,Y5,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,30,70,7,60,4800,Damaging Guard Bubble,Heals 5% HP each second and continuously damages nearby monsters; 30-second cooldown.,"{""duration_seconds"":3,""healing_percent_per_second"":5,""continuous_damage"":true,""cooldown_seconds"":30}",Pet / Owner / Skill slot,Healing / Damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Medium,DirectPetDamage,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0030,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,6,R1,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,40,110,7,70,6000,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0031,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,7,R2,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,170,9,80,7500,Rapid Guard Bubble,Same damaging bubble with an 18-second cooldown.,"{""duration_seconds"":3,""healing_percent_per_second"":5,""continuous_damage"":true,""cooldown_seconds"":18}",Pet / Owner / Skill slot,Healing / Damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Medium,DirectPetDamage,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0032,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,8,R3,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,230,9,90,9000,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0033,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,9,R4,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,290,9,105,11300,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0034,PET02,Neemo,Fish,Standard,Group C — Neemo / Shelly,Fish + Eagle,Awakening,10,R5,Legend,Complete the pet's awakening mission and spend the listed awakening materials. Legend quality is associated with the Red awakening track.,60,350,15,130,15000,Guard Bubble Maximum,Heals 10% HP each second and continuously damages nearby monsters; 18-second cooldown.,"{""duration_seconds"":3,""healing_percent_per_second"":10,""continuous_damage"":true,""cooldown_seconds"":18}",Pet / Owner / Skill slot,Healing / Damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Medium,DirectPetDamage,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0035,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Base Attack,0,Base Attack,Normal,Deploy this pet in battle.,,,,,,Cacophonia,Yells at enemies for 250% Pet ATK damage.,"{""damage_percent"":250,""cooldown_seconds"":1}",Pet attack,Area / sound,Automatic attack while deployed,Yes,Very High advanced,DirectPetDamage,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0036,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Assist Skill,1,Better Assist Skill,Better,Reach Better quality; the pet receives one random assist skill.,,,,,,Random Assist Skill,Unlocks one random assist skill used when this pet is assigned as an assist.,"{""random_assist_skill_slots"":1}",Deployed pet,Assist,Pet assigned to one of the two assist slots,Conditional,Skill dependent,AssistSkill,Exact pet-system rule,https://onechilledgamer.com/survivor-io-pet-guide/
PUN0037,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Quality Skill,2,Excellent Skill 1,Excellent,Reach Excellent quality.,,,,,,Motivation,Owner Crit Rate +3%.,"{""owner_crit_rate_percent"":3}",Owner,Motivation,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Yes,Very High,OwnerBuff,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0038,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Quality Skill,3,Excellent Skill 2,Excellent,Reach Excellent quality.,,,,,,Inspiration,Owner Crit Damage +6%.,"{""owner_crit_damage_percent"":6}",Owner,Inspiration,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Yes,High,OwnerBuff,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0039,PET03,Rex,Dog,Standard,Group D — Rex / DD-6,Dog + Cat,Quality Skill,4,Epic Skill 1,Epic,Reach Epic quality.,,,,,,High Windchaser,Pet movement speed +75%.,"{""pet_movement_speed_percent"":75}",Pet,High Windchaser,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Conditional,Hit consistency,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
