Item_ID,Item_Name,Description,Choice_Scope,Rarity,Faction,Equipment_Slot,Selection_Count,Known_Option_Count,Option_Pool_Summary,Option_Data_Status,Optimizer_Use,Lifecycle,Data_Status,Source_URLs
31101,Normal Equipment Choice Pack,Choose 1 Normal equipment piece,Equipment,Normal,,,1,30,Kunai; Baseball Bat; Katana; Shotgun; Revolver; Metal Neckguard; Trendy Charm; Army Nameplate; Bone Pendant; Emerald Pendant; Fingerless Gloves; Leather Gloves; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Choose 1 Good equipment piece,Equipment,Good,,,1,30,Kunai; Baseball Bat; Katana; Shotgun; Revolver; Metal Neckguard; Trendy Charm; Army Nameplate; Bone Pendant; Emerald Pendant; Fingerless Gloves; Leather Gloves; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31103,Better Equipment Choice Pack,Choose 1 Better equipment piece,Equipment,Better,,,1,30,Kunai; Baseball Bat; Katana; Shotgun; Revolver; Metal Neckguard; Trendy Charm; Army Nameplate; Bone Pendant; Emerald Pendant; Fingerless Gloves; Leather Gloves; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31104,Excellent Equipment Choice Pack,Choose 1 Excellent equipment piece,Equipment,Excellent,,,1,30,Kunai; Baseball Bat; Katana; Shotgun; Revolver; Metal Neckguard; Trendy Charm; Army Nameplate; Bone Pendant; Emerald Pendant; Fingerless Gloves; Leather Gloves; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31105,Epic Equipment Choice Pack,Choose 1 Epic equipment piece,Equipment,Epic,,,1,30,Kunai; Baseball Bat; Katana; Shotgun; Revolver; Metal Neckguard; Trendy Charm; Army Nameplate; Bone Pendant; Emerald Pendant; Fingerless Gloves; Leather Gloves; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31106,Legend Equipment Choice Pack,Choose 1 Legend equipment piece,Equipment,Legend,,,1,30,Kunai; Baseball Bat; Katana; Shotgun; Revolver; Metal Neckguard; Trendy Charm; Army Nameplate; Bone Pendant; Emerald Pendant; Fingerless Gloves; Leather Gloves; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31107,S Grade Excellent Equipment Choice Pack,Choose 1 S Grade Excellent equipment piece,Equipment,Excellent,S Grade / Mixed,,1,18,Void Power; Lightchaser; Sword of Disorder; Eternal Necklace; Stone of Cleaving; Voidwaker Emblem; Eternal Gloves; Voidwaker Handguards; Chaos Gauntlet; Eternal Suit; Voidwaker Windbreaker; Armor of Quietus; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31108,S Grade Epic Equipment Choice Pack,Choose 1 S Grade Epic equipment piece,Equipment,Epic,S Grade / Mixed,,1,18,Void Power; Lightchaser; Sword of Disorder; Eternal Necklace; Stone of Cleaving; Voidwaker Emblem; Eternal Gloves; Voidwaker Handguards; Chaos Gauntlet; Eternal Suit; Voidwaker Windbreaker; Armor of Quietus; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31109,S Grade Legend Equipment Choice Pack,Choose 1 S Grade Legend equipment piece,Equipment,Legend,S Grade / Mixed,,1,18,Void Power; Lightchaser; Sword of Disorder; Eternal Necklace; Stone of Cleaving; Voidwaker Emblem; Eternal Gloves; Voidwaker Handguards; Chaos Gauntlet; Eternal Suit; Voidwaker Windbreaker; Armor of Quietus; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31110,S Grade Excellent Equipment Choice Pack,Choose 1 S Grade Excellent equipment piece,Equipment,Excellent,S Grade / Mixed,,1,18,Void Power; Lightchaser; Sword of Disorder; Eternal Necklace; Stone of Cleaving; Voidwaker Emblem; Eternal Gloves; Voidwaker Handguards; Chaos Gauntlet; Eternal Suit; Voidwaker Windbreaker; Armor of Quietus; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31111,S Grade Excellent Equipment Choice Pack,Choose 1 S Grade Excellent equipment piece,Equipment,Excellent,S Grade / Mixed,,1,18,Void Power; Lightchaser; Sword of Disorder; Eternal Necklace; Stone of Cleaving; Voidwaker Emblem; Eternal Gloves; Voidwaker Handguards; Chaos Gauntlet; Eternal Suit; Voidwaker Windbreaker; Armor of Quietus; …,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31211,Eternal Excellent Choice Supply Crate,Choose 1 Eternal Excellent equipment,Equipment,Eternal,Eternal,,1,6,Lightchaser; Eternal Necklace; Eternal Gloves; Eternal Suit; Eternal Belt; Eternal Boots,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31212,Voidwaker Excellent Choice Supply Crate,Choose 1 Voidwaker Excellent equipment,Equipment,Excellent,Void,,1,6,Void Power; Voidwaker Emblem; Voidwaker Handguards; Voidwaker Windbreaker; Voidwaker Sash; Voidwaker Treads,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31213,Chaos Excellent Choice Supply Crate,Choose 1 Chaos Excellent equipment,Equipment,Excellent,Chaos,,1,6,Sword of Disorder; Stone of Cleaving; Chaos Gauntlet; Armor of Quietus; Twisting Belt; Shoes of Confusion,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32101,Normal Part Choice Pack,Choose 1 Normal Part,Tech Part,Normal,,,1,12,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser; Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32102,Good Part Choice Pack,Choose 1 Good Part,Tech Part,Good,,,1,12,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser; Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32103,Better Part Choice Pack,Choose 1 Better Part,Tech Part,Better,,,1,12,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser; Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32104,Excellent Part Choice Pack,Choose 1 Excellent Part,Tech Part,Excellent,,,1,12,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser; Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32105,Epic Part Choice Pack,Choose 1 Epic Part,Tech Part,Epic,,,1,12,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser; Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32106,Legend Part Choice Pack,Choose 1 Legend Part,Tech Part,Legend,,,1,12,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser; Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32107,Normal Offense Part Choice Pack,Choose 1 Normal Offense Part,Tech Part,Normal,,,1,6,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32108,Good Offense Part Choice Pack,Choose 1 Good Offense Part,Tech Part,Good,,,1,6,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32109,Better Offense Part Choice Pack,Choose 1 Better Offense Part,Tech Part,Better,,,1,6,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32110,Excellent Offense Part Choice Pack,Choose 1 Excellent Offense Part,Tech Part,Excellent,,,1,6,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32111,Epic Offense Part Choice Pack,Choose 1 Epic Offense Part,Tech Part,Epic,,,1,6,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32112,Legend Offense Part Choice Pack,Choose 1 Legend Offense Part,Tech Part,Legend,,,1,6,Antimatter Generator; Precision Device; Phase Converter; Quantum Polarizer; Annihilator; Energy Diffuser,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32113,Normal Defense Part Choice Pack,Choose 1 Normal Defense Part,Tech Part,Normal,,,1,6,Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32114,Good Defense Part Choice Pack,Choose 1 Good Defense Part,Tech Part,Good,,,1,6,Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32115,Better Defense Part Choice Pack,Choose 1 Better Defense Part,Tech Part,Better,,,1,6,Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32116,Excellent Defense Part Choice Pack,Choose 1 Excellent Defense Part,Tech Part,Excellent,,,1,6,Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32117,Epic Defense Part Choice Pack,Choose 1 Epic Defense Part,Tech Part,Epic,,,1,6,Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32118,Legend Defense Part Choice Pack,Choose 1 Legend Defense Part,Tech Part,Legend,,,1,6,Hi-Maintainer; Exo-skeleton; Gravity Controller; Conduction Device; Energy Collector; Nanobot,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
32213,Excellent Collectible Choice Pack,Choose 1 Excellent Collectible,Collectible,Excellent,,,1,,Eligible collectible of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
