Survivor_ID,Survivor,Aliases,Rarity,Shard_or_Upgrade_Item,Exclusive_Skill,Level_40_Account_Bonus,Level_120_Account_Bonus,Star_1_Unlock,Star_3_Unlock,Star_5_Account_Bonus,Star_6_Unlock,Awakening_Available,Maximum_Awakening_Listed,Total_Unlock_Rows,Data_Status,Primary_Source_URL,Secondary_Source_URL
SURV11,Taloxa,,S,Taloxa Shard,Armed Firepower,All Survivors: ATK +10%.,All Survivors: Crit Damage +10%.,Armed Firepower: Normal Mode uses Funnel Gun; Mecha Mode uses Vulcan Gun. Both inflict Laceration and can evolve.,Conversion: Using skills grants +50% sync rate; Overload duration +5 seconds and damage to Lacerated targets +15%; Survivor HP +20%.,All Survivors: ATK +8%.,"Overload: Funnel Gun and Vulcan Gun start at Lv.3. During Overload, damage +20% and damage to Lacerated targets +15%; Survivor ATK +20%.",Yes,8,20,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/taloxa,https://survivorio.fandom.com/wiki/Characters
SURV12,Venato,,S,Venato Shard,Adrenaline,All Survivors: ATK +10%.,All Survivors: Crit Damage +10%.,"Adrenaline: Each time HP is lost, damage increases temporarily; does not stack.",Euphoria: Adrenaline damage bonus increases and duration +5 seconds; Survivor HP +20%.,All Survivors: ATK +8%.,"Ironclad: During Blood Pact, gain a fixed 8% HP shield per second and +20% damage to Elites/Bosses; Survivor ATK +20%.",Yes,8,20,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/venato,https://survivorio.fandom.com/wiki/Characters
SURV13,Raphael,,SP,Cheese Pizza,Sai,All Survivors: HP +5%.,All Survivors: ATK +5%.,Sai: Uses 2 Sai; can evolve into Fury Sai.,Power Strike: Every 5 attacks launches a giant Sai that inflicts Bleed; Survivor HP +20%.,All Survivors: Crit Rate +8%.,Hot-headed: Sai and Fury Sai damage +70%; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/raphael,https://survivorio.fandom.com/wiki/Characters
SURV14,April,,SP,Reporter Interview Guide,Microphone,All Survivors: HP +5%.,All Survivors: ATK +5%.,Microphone: Uses a Microphone; can evolve into Mega Soundwave Balls.,Increased Volume: Soundwave damage +30%; Survivor HP +20%.,All Survivors: Crit Rate +8%.,Sonic Boom: Mega Soundwave Balls explode in a small area; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/april,https://survivorio.fandom.com/wiki/Characters
SURV15,Donatello,,SP,Mushroom Pizza,Seeker Bo,All Survivors: HP +5%.,All Survivors: ATK +5%.,Seeker Bo: Uses Seeker Bo; can evolve into Savage Bo.,Super Sweep: Bo damage +30%; Survivor HP +20%.,All Survivors: Crit Rate +8%.,Staff Strike: Attack range and damage +30%; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/donatello,https://survivorio.fandom.com/wiki/Characters
SURV16,Splinter,,SP,Teapot,Secret Art Blast,All Survivors: HP +5%.,All Survivors: ATK +5%.,Secret Art Blast: Uses Secret Art Blast; can evolve into Secret Art Fusion.,Bonecrusher: Energy-wave damage +30% and inflicts Slow; Survivor HP +20%.,All Survivors: Crit Rate +8%.,Fatality: Energy-wave damage +30% and Slow is enhanced; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/splinter,https://survivorio.fandom.com/wiki/Characters
SURV17,Leonardo,,SP,Pepperoni Pizza,Swiftwind Dual Katanas,All Survivors: HP +5%.,All Survivors: ATK +5%.,Swiftwind Dual Katanas: Uses Swiftwind Dual Katanas; can evolve into Fullmoon Slash.,Voidbreaker Combo: Adds additional slashes; Survivor HP +20%.,All Survivors: Crit Rate +8%.,Secret Art Limit: Adds additional attacks; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/leonardo,https://survivorio.fandom.com/wiki/Characters
SURV18,Michelangelo,,SP,Surf & Turf Pizza,Arc Nunchucks,All Survivors: HP +5%.,All Survivors: ATK +5%.,Arc Nunchucks: Uses Arc Nunchucks; can evolve into Windchaser.,Tubular Tornado: Whirlwind damage +50% and range increases; Survivor HP +20%.,All Survivors: Crit Rate +8%.,Apocalypse Tornado: Whirlwind damage +50% and inflicts Bleed; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/michelangelo,https://survivorio.fandom.com/wiki/Characters
SURV19,Squidward Tentacles,,SP,Underwater Sapphire,Clarinet,All Survivors: Crit Damage +5%.,All Survivors: Crit Rate +5%.,Clarinet: Plays the Clarinet to attack nearby enemies; can evolve into Fatal Melody.,D Minor: Clarinet sonic-attack interval -40%; Survivor HP +20%.,All Survivors: HP +4%.,Brilliant Variation: Enemies defeated by Fatal Melody deal 2x explosion damage; Survivor ATK +20%.,No,0,12,GarryTools roster plus secondary public Survivor.io guide; no Awakening track is available,https://garrytools.com/guide/survivors/squidward,https://mturbogamer.com/2023/08/survivor-io-how-to-get-squidward-tentacles/
SURV20,SpongeBob SquarePants,,SP,Underwater Ruby,Spatula,All Survivors: Crit Damage +5%.,All Survivors: Crit Rate +5%.,Spatula: Attacks the nearest enemy with a Spatula; can evolve into Fully Automated Turbo Spatula.,Master Chef: Spatula attack range +40%; Survivor HP +20%.,All Survivors: ATK +4%.,High-Speed Motor: Turbo Spatula attack interval -20% and damage +20%; Survivor ATK +20%.,No,0,12,GarryTools roster plus secondary public Survivor.io guide; no Awakening track is available,https://garrytools.com/guide/survivors/spongebob,https://mturbogamer.com/2023/07/survivor-io-get-spongebob-underwater-ruby/
SURV21,Sandy,,SP,Underwater Quartz,Nut Lasso,All Survivors: Crit Damage +5%.,All Survivors: Crit Rate +5%.,Nut Lasso: Uses Nut Lasso; can evolve into Invincible Bubble.,Power Throw: Nut Lasso attack range +25%; Survivor HP +20%.,All Survivors: HP +4%.,Speed Bubble: Spin Speed +20% and damage +25%; Survivor ATK +20%.,No,0,12,GarryTools level/primary skill data plus secondary public Survivor.io guide; no Awakening track is available,https://garrytools.com/guide/survivors/sandy,https://mturbogamer.com/2023/12/survivor-io-how-to-get-sandy/
SURV22,Patrick,,SP,Underwater Tourmaline,Sea Star Punch,All Survivors: Crit Damage +5%.,All Survivors: Crit Rate +5%.,Sea Star Punch: Uses Sea Star Punch; can evolve into Sea Star Kah-Rah-Tay.,Swift Strike: Fist attack cooldown -40%; Survivor HP +20%.,All Survivors: ATK +4%.,Talent Burst: Attack interval -20% and damage +25%; Survivor ATK +20%.,No,0,12,GarryTools level/primary skill data plus secondary public Survivor.io guide; no Awakening track is available,https://garrytools.com/guide/survivors/patrick,https://mturbogamer.com/2023/12/survivor-io-get-patrick-underwater-tourmaline/
SURV23,Nezha,,SP,SP Survivor Omnishard,Divine Flame skill,All Survivors: HP +5%.,All Survivors: ATK +5%.,Divine Flame Exclusive Skill: Unlocks Nezha's exclusive Divine Flame combat skill. Exact display text was not captured.,Divine Flame Mastery: Enhances Nezha's exclusive skill; Survivor HP +20%. Exact display text was not captured.,All Survivors: Crit Rate +8%.,Divine Flame Mastery II: Further enhances Nezha's exclusive skill; Survivor ATK +20%. Exact display text was not captured.,Yes,6,18,Partial current sIO Tools model data; GarryTools Nezha detail page was temporarily blocked during extraction,https://garrytools.com/guide/survivors/nezha,https://play.google.com/store/apps/details?id=com.dxx.firenow
SURV24,Vulcan,,SP,SP Survivor Omnishard,Pyrogod Hammer,All Survivors: HP +5%.,All Survivors: ATK +5%.,Pyrogod Hammer: Attacks with Pyrogod Hammer; can evolve into Pyrogod Grandhammer.,Titanic Might: Pyrogod Hammer and Pyrogod Grandhammer damage +100%; Survivor HP +20%.,All Survivors: Crit Rate +8%.,Lava Smite: Every 5 Pyrogod Grandhammer swings triggers Lava Smite and applies Divine Fire for 5 seconds; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/vulcan,https://survivorio.fandom.com/wiki/Characters
