Choice_Item_ID,Choice_Item_Name,Choice_Scope,Option_Order,Option_Name,Option_Category,Option_Status,Rarity_Awarded,Notes,Source_URLs
92,Core Choice Chest,Core / Upgrade Material,2,Relic Core,Core / Upgrade Material,Exact,,Official announcement states the original three-choice chest was upgraded to four choices by adding Xeno Pet Core.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://apps.apple.com/us/app/survivor-io/id1528941310"
92,Core Choice Chest,Core / Upgrade Material,3,Resonance Chip,Core / Upgrade Material,Exact,,Official announcement states the original three-choice chest was upgraded to four choices by adding Xeno Pet Core.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://apps.apple.com/us/app/survivor-io/id1528941310"
92,Core Choice Chest,Core / Upgrade Material,4,Xeno Pet Core,Core / Upgrade Material,Exact,,Official announcement states the original three-choice chest was upgraded to four choices by adding Xeno Pet Core.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://apps.apple.com/us/app/survivor-io/id1528941310"
95,Good Collectible Shard Choice Pack,Collectible,1,Eligible collectible shard of the displayed rarity,Collectible,Dynamic edition/event pool,Good,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
96,Better Collectible Shard Choice Pack,Collectible,1,Eligible collectible shard of the displayed rarity,Collectible,Dynamic edition/event pool,Better,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
97,Excellent Collectible Shard Choice Pack,Collectible,1,Eligible collectible shard of the displayed rarity,Collectible,Dynamic edition/event pool,Excellent,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
98,Epic Collectible Shard Choice Pack,Collectible,1,Eligible collectible shard of the displayed rarity,Collectible,Dynamic edition/event pool,Epic,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
99,Legend Collectible Shard Choice Pack,Collectible,1,Eligible collectible shard of the displayed rarity,Collectible,Dynamic edition/event pool,Legend,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
194,Xeno Pet Core & Survivor Awakening Core Choice Chest,Xeno Pet,1,Xeno Pet Core,Xeno Pet,Exact,Xeno,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
194,Xeno Pet Core & Survivor Awakening Core Choice Chest,Xeno Pet,2,Survivor Awakening Core,Xeno Pet,Exact,Xeno,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
5908,Christmas Outfit Giftbox,Cosmetic,1,Tsukuyomi X'mas Costume,Cosmetic,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
5908,Christmas Outfit Giftbox,Cosmetic,2,Common X'mas Costume,Cosmetic,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
5908,Christmas Outfit Giftbox,Cosmetic,3,Worm X'mas Costume,Cosmetic,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6198,Survivor Starter Squad Choice Shard,Survivor Shard,1,Common,Survivor Shard,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6198,Survivor Starter Squad Choice Shard,Survivor Shard,2,Tsukuyomi,Survivor Shard,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6198,Survivor Starter Squad Choice Shard,Survivor Shard,3,Catnips,Survivor Shard,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6198,Survivor Starter Squad Choice Shard,Survivor Shard,4,Worm,Survivor Shard,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6198,Survivor Starter Squad Choice Shard,Survivor Shard,5,King,Survivor Shard,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6199,Survivor Shard Choice,Survivor Shard,1,Eligible Survivor Shard,Survivor Shard,Dynamic pool,,Exact eligible survivor list is not encoded in the localized item entry.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6200,Underwater Jewel Choice,Collaboration Survivor Material,1,Underwater Sapphire,Collaboration Survivor Material,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6200,Underwater Jewel Choice,Collaboration Survivor Material,2,Underwater Ruby,Collaboration Survivor Material,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6200,Underwater Jewel Choice,Collaboration Survivor Material,3,Underwater Tourmaline,Collaboration Survivor Material,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6200,Underwater Jewel Choice,Collaboration Survivor Material,4,Underwater Quartz,Collaboration Survivor Material,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
8000,Advanced Collector's Heart,Mixed / Dynamic,1,Unlocked reward shown by the item,Mixed / Dynamic,Unknown / dynamic,Legend,The local item dictionary does not contain the underlying reward table.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,1,Kunai,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,2,Baseball Bat,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,3,Katana,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,4,Shotgun,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,5,Revolver,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,6,Metal Neckguard,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,7,Trendy Charm,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,8,Army Nameplate,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,9,Bone Pendant,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,10,Emerald Pendant,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,11,Fingerless Gloves,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,12,Leather Gloves,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,13,Army Gloves,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,14,Shiny Wristguard,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,15,Protective Gloves,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,16,Full Metal Suit,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,17,Traveler's Jacket,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,18,Carapace,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,19,Army Uniform,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,20,Protective Suit,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,21,Stylish Belt,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,22,Leather Belt,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,23,Army Belt,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,24,Waist Sensor,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,25,Broad Waistguard,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,26,Light Runners,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,27,Army Boots,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,28,Prosthetic Legs,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,29,Layered Snowshoes,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31101,Normal Equipment Choice Pack,Equipment,30,Highboots,Equipment,Exact,Normal,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,1,Kunai,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,2,Baseball Bat,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,3,Katana,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,4,Shotgun,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,5,Revolver,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,6,Metal Neckguard,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,7,Trendy Charm,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,8,Army Nameplate,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,9,Bone Pendant,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,10,Emerald Pendant,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,11,Fingerless Gloves,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,12,Leather Gloves,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,13,Army Gloves,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,14,Shiny Wristguard,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,15,Protective Gloves,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,16,Full Metal Suit,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,17,Traveler's Jacket,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,18,Carapace,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,19,Army Uniform,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,20,Protective Suit,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,21,Stylish Belt,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,22,Leather Belt,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,23,Army Belt,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,24,Waist Sensor,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
31102,Good Equipment Choice Pack,Equipment,25,Broad Waistguard,Equipment,Exact,Good,The chosen item is awarded at the rarity shown on the pack.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
